Date,Searches,Cases,Week1-Prediction,Week2-Prediction,Week3-Prediction,Week4-Prediction,Naive-1Week,Naive-2Week,Naive-3Week,Naive-4Week,Week1-Error,Week2-Error,Week3-Error,Week4-Error
04/07/2016,0.31,32.0,360.1049269870377,551.4293778001213,424.7279156894875,236.36039670962333,32,69,67,67,328.1049269870377,519.4293778001213,392.7279156894875,204.36039670962333
11/07/2016,0.19,32.0,215.3774610590744,432.539434020195,424.3184314470863,285.73358821186065,32,32,69,67,183.3774610590744,400.539434020195,392.3184314470863,253.73358821186065
18/07/2016,0.46,32.0,88.38126324970722,216.19084421710969,324.8961640610218,298.9658058030796,32,32,32,69,56.38126324970722,184.19084421710969,292.8961640610218,266.9658058030796
25/07/2016,0.5,32.0,74.63181447847366,43.90562037897348,136.14368640754222,165.35937376500607,32,32,32,32,42.63181447847366,11.905620378973481,104.14368640754222,133.35937376500607
01/08/2016,0.49,33.0,79.16949352472305,84.14936089635373,104.01744537662029,112.15128693077088,32,32,32,32,46.16949352472305,51.14936089635373,71.01744537662029,79.15128693077088
08/08/2016,0.4,39.0,75.8209056126666,81.23067359079123,135.1239154516697,109.86800534843445,33,32,32,32,36.82090561266661,42.23067359079123,96.12391545166969,70.86800534843445
15/08/2016,0.12,80.0,67.05663526039123,48.45685880332947,107.03518745501518,134.6346607744789,39,33,32,32,-12.943364739608768,-31.543141196670533,27.035187455015176,54.6346607744789
22/08/2016,0.19,18.0,-15.548074843888879,108.975420262084,135.7651209383154,165.2995908210039,80,39,33,32,-33.54807484388888,90.975420262084,117.76512093831539,147.2995908210039
29/08/2016,0.16,19.0,166.7076018299675,248.4318437654972,184.50161511051178,175.16250990903853,18,80,39,33,147.7076018299675,229.4318437654972,165.50161511051178,156.16250990903853
05/09/2016,0.53,13.0,132.96912630636692,324.3771276236057,348.19609273046495,249.34245150446893,19,18,80,39,119.96912630636692,311.3771276236057,335.19609273046495,236.34245150446893
12/09/2016,0.26,13.0,77.35574343443156,192.21335556804658,347.31656334543226,392.6517032283211,13,19,18,80,64.35574343443156,179.21335556804658,334.31656334543226,379.6517032283211
19/09/2016,0.21,13.0,23.52356365712285,-44.25314738945246,6.959244841607809,108.58127572069645,13,13,19,18,10.52356365712285,-57.25314738945246,-6.040755158392191,95.58127572069645
26/09/2016,0.07,1.0,26.154299939904213,8.931437436996102,-37.69625552482009,26.478149154410364,13,13,13,19,25.154299939904213,7.931437436996102,-38.69625552482009,25.478149154410364
03/10/2016,0.08,13.0,17.863679011439682,-5.409762991225719,13.016005602550507,-39.50182959436655,1,13,13,13,4.863679011439682,-18.40976299122572,0.016005602550507092,-52.50182959436655
10/10/2016,0.17,14.0,15.747600668841004,6.066831803269387,20.985596161111594,38.648182214620114,13,1,13,13,1.7476006688410042,-7.933168196730613,6.985596161111594,24.648182214620114
17/10/2016,0.36,10.0,18.718718982703685,9.698760350074767,16.82058308269143,36.29561265897989,14,13,1,13,8.718718982703685,-0.30123964992523256,6.8205830826914315,26.29561265897989
24/10/2016,0.74,10.0,28.674743473184108,14.13677996200025,28.13763700760722,26.279281600112917,10,14,13,1,18.674743473184108,4.136779962000251,18.13763700760722,16.279281600112917
