Date,Searches,Observed,Pure-LSTM-Prediction,Pure-LSTMError,Naive-Prediction,NaiveError
10/07/2016,0.15,204.0,16.787343058413267,-187.21265694158674,166.99999999999997,-37.00000000000003
17/07/2016,0.69,162.0,16.78728654702902,-145.21271345297097,204.0,42.0
24/07/2016,1.0,138.0,16.786172289952635,-121.21382771004737,162.0,24.0
31/07/2016,0.16,90.0,16.778663646897673,-73.22133635310233,138.0,48.0
07/08/2016,0.55,61.0,16.782964654642342,-44.21703534535766,90.0,29.0
14/08/2016,0.39,77.0,16.778925319176913,-60.22107468082309,61.0,-16.0
21/08/2016,0.71,61.99999999999999,16.773612020549177,-45.22638797945082,77.0,15.000000000000007
28/08/2016,1.0,77.0,16.721251766026022,-60.27874823397398,61.99999999999999,-15.000000000000007
04/09/2016,0.0,74.0,16.60017735378146,-57.39982264621854,77.0,3.0
11/09/2016,0.48,46.99999999999999,16.678946852374075,-30.321053147625918,74.0,27.000000000000007
18/09/2016,0.56,45.0,16.60494028066695,-28.39505971933305,46.99999999999999,1.999999999999993
25/09/2016,0.46,46.0,16.67843087886572,-29.32156912113428,45.0,-1.0
02/10/2016,0.23,27.999999999999996,16.664656843209265,-11.335343156790731,46.0,18.000000000000004
09/10/2016,0.52,17.0,16.490632492432,-0.5093675075680011,27.999999999999996,10.999999999999996
16/10/2016,0.57,-87.0,16.46984613109529,103.4698461310953,17.0,104.0
23/10/2016,0.33,36.0,16.46127359980643,-19.53872640019357,-87.0,-123.0
30/10/2016,0.18,29.0,9.840713090854884,-19.159286909145116,36.0,7.0
06/11/2016,0.72,30.0,3.3452273244731128,-26.654772675526885,29.0,-1.0
13/11/2016,0.5,5.0,2.809731282746792,-2.190268717253208,30.0,25.0
20/11/2016,0.0,15.0,16.281541599220038,1.2815415992200379,5.0,-10.0
27/11/2016,0.74,10.0,16.08110677586496,6.08110677586496,15.0,5.0
04/12/2016,0.0,12.0,15.123192129531503,3.1231921295315033,10.0,-2.0
11/12/2016,0.51,32.0,8.316685824742914,-23.683314175257088,12.0,-20.0
18/12/2016,0.48,13.999999999999998,13.239148033487798,-0.7608519665122007,32.0,18.0
25/12/2016,0.08,20.0,12.256981403753162,-7.743018596246838,13.999999999999998,-6.000000000000002
01/01/2017,0.0,2.0,15.159015433111787,13.159015433111787,20.0,18.0
08/01/2017,0.0,5.0,15.913787623679639,10.913787623679639,2.0,-3.0
15/01/2017,0.0,6.0,12.653997219759226,6.653997219759226,5.0,-1.0
22/01/2017,0.09,13.0,12.283769028395414,-0.7162309716045865,6.0,-7.0
29/01/2017,0.14,6.0,5.819654144194722,-0.18034585580527818,13.0,7.0
05/02/2017,0.0,5.0,8.028931084656715,3.0289310846567155,6.0,1.0
12/02/2017,0.4,9.0,9.278254054918886,0.2782540549188859,5.0,-4.0
19/02/2017,0.34,8.0,10.167329235678912,2.1673292356789116,9.0,1.0
26/02/2017,0.09,10.0,6.845046454592049,-3.1549535454079507,8.0,-2.0
05/03/2017,0.38,5.0,7.365542716452479,2.365542716452479,10.0,5.0
12/03/2017,0.29,4.0,7.76919124905765,3.7691912490576502,5.0,1.0
19/03/2017,0.0,5.0,7.543057259461284,2.5430572594612837,4.0,-1.0
26/03/2017,0.0,5.0,7.3259626343280075,2.3259626343280075,5.0,0.0
02/04/2017,0.48,0.0,4.6577463000610475,4.6577463000610475,5.0,5.0
09/04/2017,0.0,8.0,4.910639044353366,-3.089360955646634,0.0,-8.0
16/04/2017,0.18,5.0,5.563172927002609,0.5631729270026087,8.0,3.0
23/04/2017,0.1,3.0,4.835766988511383,1.8357669885113834,5.0,2.0
30/04/2017,0.26,4.0,4.0066411726266145,0.0066411726266144555,3.0,-1.0
07/05/2017,0.44,2.0,6.978474132582545,4.978474132582545,4.0,2.0
14/05/2017,0.0,5.0,4.797807308904827,-0.20219269109517324,2.0,-3.0
21/05/2017,0.0,8.0,4.2874591402962805,-3.7125408597037195,5.0,-3.0
28/05/2017,0.27,0.0,4.233945316429436,4.233945316429436,8.0,8.0
04/06/2017,0.0,6.0,4.316479578870535,-1.6835204211294652,0.0,-6.0
11/06/2017,0.25,4.0,6.406967132624984,2.4069671326249837,6.0,2.0
18/06/2017,0.14,1.0,5.935601991081238,4.935601991081238,4.0,3.0
25/06/2017,0.26,-8.0,3.9539873046070335,11.953987304607033,1.0,9.0
02/07/2017,0.68,2.0,5.039668662439286,3.0396686624392864,-8.0,-10.0
09/07/2017,0.0,1.0,3.5499250718139113,2.5499250718139113,2.0,1.0
16/07/2017,0.0,1.0,3.0225371852189302,2.0225371852189302,1.0,0.0
23/07/2017,0.0,0.0,2.707513245216012,2.707513245216012,1.0,1.0
30/07/2017,0.15,1.0,3.2446367533832787,2.2446367533832787,0.0,-1.0
06/08/2017,0.0,1.0,3.802232739003003,2.802232739003003,1.0,0.0
13/08/2017,0.37,4.0,3.716419587767124,-0.283580412232876,1.0,-3.0
20/08/2017,1.0,2.0,3.6130092828795313,1.6130092828795313,4.0,2.0
27/08/2017,0.0,-16.0,3.6591858406066895,19.65918584060669,2.0,18.0
03/09/2017,0.05,-1.0,3.613537541471422,4.6135375414714215,-16.0,-15.0
10/09/2017,0.0,13.999999999999998,3.2512783766679467,-10.748721623332052,-1.0,-14.999999999999998
17/09/2017,0.0,-1.0,2.7692328906282784,3.7692328906282784,13.999999999999998,14.999999999999998
24/09/2017,0.51,3.0,2.6078084286488594,-0.3921915713511406,-1.0,-4.0
01/10/2017,0.06,3.0,5.314815221296251,2.314815221296251,3.0,0.0
08/10/2017,0.0,2.0,8.042166419400274,6.042166419400274,3.0,1.0
