Week,Acre,Amapá,Amazonas,Pará,Rondonia,Roraima,Tocantins,Alagoas,Bahia,Ceará,Maranhao,Paraíba,Pernambuco,Piauí,Rio Grande do Norte,Sergipe,Espírito Santo,Minas Gerais,Rio de Janeiro,Sao Paulo,Paraná,Rio Grande do Sul,Santa Catarina,Distrito Federal,Goiás,Mato Grosso,Mato Grosso do Sul
2017-SE24,48.471851812055036,17.48057120568562,347.42035612114904,639.370521122624,188.1686620741708,208.77478023456382,1294.2361345661775,100.2337814716335,1330.2091110153697,1457.651494992065,385.3216740996652,72.87982568156647,33.684979203044975,193.352273093317,189.3791555209419,9.971449278026224,274.0454023102444,839.2122038300884,1407.5677487078312,388.5069916243156,57.45012669784637,14.935919793262462,16.060111088983323,41.12721546070157,2663.6652673655567,501.99318958178185,55.15043882212359
2017-SE25,42.0,19.0,358.0,650.0,183.0,219.0,1303.0,106.0,1362.0,1504.0,402.0,75.0,35.0,209.0,194.0,10.0,282.0,855.0,1458.0,387.0,56.0,14.0,16.0,44.0,2854.0,658.0,58.0
2017-SE26,37.249325900471554,20.672660049156786,366.56850063631157,656.4865587194904,178.20537720380668,226.55431209855593,1276.926215641393,112.27832176145117,1383.3898490240488,1532.4863030197168,415.75656555818375,77.62925123484166,37.03645125154474,212.37997376432543,194.9992115882984,10.103520999412124,288.15602087888897,857.8611284500654,1488.2568055376466,380.45016642213045,54.62370409432413,13.438463800934295,15.30273123149186,46.07262363177111,3020.121376244591,852.1188753316123,59.13352537964961
2017-SE27,34.219829513469705,22.49855135315597,373.1258580300838,658.8301972810955,173.78479368559084,231.43771653023168,1216.0147814903564,119.06874675598706,1394.3786580875149,1543.1104040512155,426.5913707742165,80.76757938609144,39.7943329576792,203.4921943862933,192.3767902858371,10.282012276262595,292.5134649469112,847.7955891802847,1498.3381653207707,368.85749089070686,53.32123898081876,13.251311196065345,13.968304783458908,47.3450863560149,3162.0293960993295,1084.3498155766188,58.55101496107241
2017-SE28,32.91151083899445,24.47767391199757,377.6720721813168,657.0309156848153,169.73824944535244,233.65021329502733,1120.2656975468908,126.37127498360766,1394.9664271903998,1535.8723030944966,434.50441564809836,84.41498445374938,43.273645118403394,182.3366618659036,186.13273609261617,10.535473830551418,295.072332204067,824.803382190658,1488.2440793493734,352.2219734057293,52.09260465948391,13.438542185393159,11.996720655901148,47.81738817273141,3279.724059564217,1354.6928207350195,56.25246874426841
2017-SE29,32.51174531140932,25.350646712617483,380.51338140336816,653.6692083807983,166.74987199503573,234.49599599426122,1024.1242363707822,133.2579643259821,1410.894990250973,1523.6625792278892,441.97203482240275,87.85905964279632,46.5810361417046,159.77298226420197,183.08140721214716,10.781052311384368,296.61512563809663,799.7437569364404,1471.4290868558924,336.64823960836736,50.732280413819296,13.750541577966931,10.248087493698685,47.88582595106316,3372.5911542370554,1609.326310174527,53.45337391762698
2017-SE30,32.207908365077834,23.858088741951626,381.9560240095959,651.3255698191932,165.50378884658494,235.27925822925215,962.0356705218187,138.80087266477955,1467.9061811875067,1519.3718115297238,451.4705629397033,90.38739815821322,48.82315443557014,146.6607616422341,190.03716184794177,10.935894367867231,297.924348236741,783.4759628728877,1461.3477270727678,328.24091513979096,49.03474552732465,13.93769418283588,9.582513941731637,47.94669656015269,3440.01646771565,1794.428703262854,51.36921766953752
2017-SE31,32.0,20.0,382.0,650.0,166.0,236.0,934.0,143.0,1566.0,1523.0,463.0,92.0,50.0,143.0,207.0,11.0,299.0,776.0,1458.0,327.0,47.0,14.0,10.0,48.0,3482.0,1910.0,50.0
2017-SE32,31.88802021617582,13.776380486762603,380.64530937458045,649.6924989232186,168.23850545528097,236.6582213065048,940.0172248053259,145.8553463316435,1705.1764466884536,1534.5471446387178,476.5603460032929,92.6968651681567,50.111572834994185,148.79069733749964,233.9699216683218,10.973369207782683,299.84208092787367,777.315868317777,1461.3859056375888,332.92549418899455,44.62804383184532,13.937459029459292,11.500545668503776,48.04573627060511,3498.541751090106,1956.040200385966,49.345720909014446
2017-SE33,32.0,9.0,383.0,650.0,171.0,236.0,957.0,149.0,1824.0,1537.0,481.0,94.0,50.0,157.0,259.0,11.0,301.0,780.0,1458.0,339.0,44.0,14.0,13.0,48.0,3509.0,1963.0,49.0
