coordinates,date,precipType,precipProbability,precipIntensity,precipIntensityMax,temperatureHigh,temperatureLow,humidity
25.7330;-100.3000,2015-12-23,NA,0,0,0,32.96,12.78,0.4
25.7330;-100.3000,2015-12-24,NA,0,0,0,33.73,13.36,0.35
25.7330;-100.3000,2015-12-25,NA,0,0,0,28.89,17.78,0.54
25.7330;-100.3000,2015-12-26,NA,0,0,0,27.32,13.07,0.71
25.7330;-100.3000,2015-12-27,NA,0,0,0,20,6.64,0.57
25.7330;-100.3000,2015-12-28,NA,0,0,0,17.94,7.04,0.34
25.7330;-100.3000,2015-12-29,NA,0,0,0,17.56,10.96,0.54
25.7330;-100.3000,2015-12-30,NA,0,0,0,18.56,10.49,0.6
25.7330;-100.3000,2015-12-31,NA,0,0,0.0127,12.92,7.83,0.88
25.7330;-100.3000,2016-01-01,rain,1,0.0279,0.254,8.73,4.67,0.86
25.7330;-100.3000,2016-01-02,rain,1,0.2438,1.6332,7.22,4.97,0.92
25.7330;-100.3000,2016-01-03,NA,0,0,0,15.19,8.49,0.74
25.7330;-100.3000,2016-01-04,NA,0,0,0,12.14,8.71,0.76
25.7330;-100.3000,2016-01-05,NA,0,0,0,13.25,9.82,0.75
25.7330;-100.3000,2016-01-06,rain,0.89,0.0178,0.2261,19.44,10.08,0.78
25.7330;-100.3000,2016-01-07,NA,0,0,0,24.44,9.69,0.66
25.7330;-100.3000,2016-01-08,NA,0,0,0,26.67,4.79,0.62
25.7330;-100.3000,2016-01-09,NA,0,0,0,20.39,3.39,0.32
25.7330;-100.3000,2016-01-10,NA,0,0,0,14.44,2.38,0.52
25.7330;-100.3000,2016-01-11,NA,0,0,0,15,2.98,0.72
25.7330;-100.3000,2016-01-12,rain,0.05,0.0025,0.0508,17.22,7.22,0.7
25.7330;-100.3000,2016-01-13,NA,0,0,0,13.99,9.97,0.84
25.7330;-100.3000,2016-01-14,NA,0,0,0,23.69,8.54,0.69
25.7330;-100.3000,2016-01-15,NA,0,0,0,27.78,8.54,0.45
25.7330;-100.3000,2016-01-16,NA,0,0,0,25.04,4.55,0.3
25.7330;-100.3000,2016-01-17,NA,0,0,0,18.33,2.58,0.45
25.7330;-100.3000,2016-01-18,NA,0,0,0,22.22,7.07,0.51
25.7330;-100.3000,2016-01-19,NA,0,0,0,23.83,10.22,0.63
25.7330;-100.3000,2016-01-20,NA,0,0,0,26.11,9.53,0.63
25.7330;-100.3000,2016-01-21,NA,0,0,0,27.22,6.86,0.46
25.7330;-100.3000,2016-01-22,NA,0,0,0,20.99,4.08,0.34
25.7330;-100.3000,2016-01-23,NA,0,0,0,20,3.98,0.43
25.7330;-100.3000,2016-01-24,NA,0,0,0,24.44,9.76,0.54
25.7330;-100.3000,2016-01-25,NA,0,0,0,29.04,11.4,0.47
25.7330;-100.3000,2016-01-26,NA,0,0,0,21.11,4.79,0.57
25.7330;-100.3000,2016-01-27,rain,0.95,0.2769,1.0185,8.89,3.36,0.8
25.7330;-100.3000,2016-01-28,NA,0,0,0,20.56,6.34,0.55
25.7330;-100.3000,2016-01-29,NA,0,0,0,23.25,8.89,0.51
25.7330;-100.3000,2016-01-30,NA,0,0,0,28.44,10.35,0.44
25.7330;-100.3000,2016-01-31,NA,0,0,0,32.22,12.43,0.3
25.7330;-100.3000,2016-02-01,NA,0,0,0,32.11,11.18,0.38
25.7330;-100.3000,2016-02-02,NA,0,0,0,24.44,9.65,0.36
25.7330;-100.3000,2016-02-03,NA,0,0,0,20,5.82,0.36
25.7330;-100.3000,2016-02-04,NA,0,0,0,16.11,3.48,0.39
25.7330;-100.3000,2016-02-05,NA,0,0,0,16.46,6.05,0.55
25.7330;-100.3000,2016-02-06,NA,0,0,0,21.11,2.89,0.46
25.7330;-100.3000,2016-02-07,NA,0,0,0,23,12.04,0.35
25.7330;-100.3000,2016-02-08,NA,0,0,0,17.41,7.43,0.37
25.7330;-100.3000,2016-02-09,NA,0,0,0,21.85,5.64,0.36
25.7330;-100.3000,2016-02-10,NA,0,0,0,24.44,7.84,0.35
25.7330;-100.3000,2016-02-11,NA,0,0,0,28.84,10.22,0.35
25.7330;-100.3000,2016-02-12,NA,0,0,0,30.56,9.27,0.36
25.7330;-100.3000,2016-02-13,NA,0,0,0,26.67,11.34,0.59
25.7330;-100.3000,2016-02-14,NA,0,0,0,27.78,12.24,0.59
25.7330;-100.3000,2016-02-15,NA,0,0,0,32.22,12.94,0.44
25.7330;-100.3000,2016-02-16,NA,0,0,0,30.17,13.47,0.46
25.7330;-100.3000,2016-02-17,NA,0,0,0,27.02,16.32,0.66
25.7330;-100.3000,2016-02-18,NA,0,0,0,29.22,16.46,0.63
25.7330;-100.3000,2016-02-19,NA,0,0,0,28.11,17.72,0.64
25.7330;-100.3000,2016-02-20,NA,0,0,0,28.5,17.33,0.68
25.7330;-100.3000,2016-02-21,NA,0,0,0,26.88,17.42,0.76
25.7330;-100.3000,2016-02-22,NA,0,0,0,27.78,16.19,0.66
25.7330;-100.3000,2016-02-23,NA,0,0,0,32.78,10.18,0.5
25.7330;-100.3000,2016-02-24,NA,0,0,0,20.95,6.18,0.35
25.7330;-100.3000,2016-02-25,NA,0,0,0,23.38,9.58,0.35
25.7330;-100.3000,2016-02-26,NA,0,0,0,19.89,13.34,0.59
25.7330;-100.3000,2016-02-27,NA,0,0,0,18.3,15,0.72
25.7330;-100.3000,2016-02-28,NA,0,0,0,27.54,13.1,0.7
25.7330;-100.3000,2016-02-29,NA,0,0,0,28.89,16.29,0.63
25.7330;-100.3000,2016-03-01,rain,0.53,0.1346,1.8745,33.33,17.54,0.59
25.7330;-100.3000,2016-03-02,NA,0,0,0,28.61,15.66,0.58
25.7330;-100.3000,2016-03-03,NA,0,0,0,36.11,19.47,0.49
25.7330;-100.3000,2016-03-04,NA,0,0,0,27.86,17.28,0.57
25.7330;-100.3000,2016-03-05,NA,0,0,0,24.44,17.98,0.74
25.7330;-100.3000,2016-03-06,NA,0,0,0,26.94,19.44,0.73
25.7330;-100.3000,2016-03-07,NA,0,0,0,31.68,16.47,0.63
25.7330;-100.3000,2016-03-08,NA,0,0,0,31.52,15.94,0.55
25.7330;-100.3000,2016-03-09,rain,0.95,0.066,0.8026,20.15,12.59,0.64
25.7330;-100.3000,2016-03-10,rain,0.95,0.1245,0.9373,16.67,10,0.66
25.7330;-100.3000,2016-03-11,rain,1,0.0559,0.508,20,10.36,0.66
25.7330;-100.3000,2016-03-12,NA,0,0,0,29.75,13.31,0.52
25.7330;-100.3000,2016-03-13,NA,0,0,0,33.33,14.29,0.42
25.7330;-100.3000,2016-03-14,NA,0,0,0,35.56,16.84,0.31
25.7330;-100.3000,2016-03-15,NA,0,0,0,35.12,19.79,0.41
25.7330;-100.3000,2016-03-16,NA,0,0,0,26.14,19.76,0.56
25.7330;-100.3000,2016-03-17,NA,0,0,0,31.11,18.91,0.68
25.7330;-100.3000,2016-03-18,rain,0.05,0.0076,0.1143,31.53,15.79,0.61
25.7330;-100.3000,2016-03-19,rain,0.89,0.4674,10.5816,16.11,11.14,0.72
25.7330;-100.3000,2016-03-20,NA,0,0,0,16.24,5.61,0.48
25.7330;-100.3000,2016-03-21,NA,0,0,0,21.06,8.44,0.5
25.7330;-100.3000,2016-03-22,NA,0,0,0,28.89,14.3,0.55
25.7330;-100.3000,2016-03-23,NA,0,0,0,36.09,18.78,0.49
25.7330;-100.3000,2016-03-24,NA,0,0,0,26.17,11.53,0.33
25.7330;-100.3000,2016-03-25,NA,0,0,0,24.76,13.3,0.41
25.7330;-100.3000,2016-03-26,NA,0,0,0,24.44,14.48,0.66
25.7330;-100.3000,2016-03-27,NA,0,0,0,30.41,17.99,0.58
25.7330;-100.3000,2016-03-28,rain,0.53,0.0203,0.1346,19.59,18.11,0.8
25.7330;-100.3000,2016-03-29,rain,0.89,0.033,0.4547,28.33,21.27,0.75
25.7330;-100.3000,2016-03-30,NA,0,0,0,30.01,20.56,0.65
25.7330;-100.3000,2016-03-31,NA,0,0,0,36.12,17.58,0.37
25.7330;-100.3000,2016-04-01,NA,0,0,0,28.68,9.22,0.43
25.7330;-100.3000,2016-04-02,NA,0,0,0,20.71,10.92,0.45
25.7330;-100.3000,2016-04-03,NA,0,0,0,24.83,11.26,0.4
25.7330;-100.3000,2016-04-04,NA,0,0,0,29.8,13.96,0.47
25.7330;-100.3000,2016-04-05,NA,0,0,0,28.94,17.17,0.57
25.7330;-100.3000,2016-04-06,NA,0,0,0,30.86,17.11,0.57
25.7330;-100.3000,2016-04-07,NA,0,0,0,27.78,19.8,0.59
25.7330;-100.3000,2016-04-08,NA,0,0,0,25.88,17.55,0.75
25.7330;-100.3000,2016-04-09,rain,0.11,0.0051,0.0279,26.27,18.95,0.72
25.7330;-100.3000,2016-04-10,rain,0.89,0.0102,0.2261,30.16,18.25,0.67
25.7330;-100.3000,2016-04-11,NA,0,0,0,34.32,21.01,0.59
25.7330;-100.3000,2016-04-12,NA,0,0,0,28.02,19.86,0.7
25.7330;-100.3000,2016-04-13,rain,0.53,0.0229,0.4293,25.71,18.04,0.71
25.7330;-100.3000,2016-04-14,NA,0,0,0,27.27,18.42,0.67
25.7330;-100.3000,2016-04-15,rain,0.53,0.0051,0.1346,24.09,19.91,0.8
25.7330;-100.3000,2016-04-16,NA,0,0,0,32.28,19.79,0.62
25.7330;-100.3000,2016-04-17,rain,0.89,0.0102,0.2261,33.88,18.39,0.63
25.7330;-100.3000,2016-04-18,rain,0.53,0.0152,0.2667,31.67,18.01,0.71
25.7330;-100.3000,2016-04-19,NA,0,0,0,29.89,19.05,0.69
25.7330;-100.3000,2016-04-20,rain,0.05,0.0305,0.635,28.33,19.12,0.67
25.7330;-100.3000,2016-04-21,NA,0,0,0.0127,31.67,20.63,0.63
25.7330;-100.3000,2016-04-22,rain,0.95,0.1651,3.8583,30.56,19.07,0.69
25.7330;-100.3000,2016-04-23,rain,0.42,0.0127,0.2159,26.16,18.36,0.71
25.7330;-100.3000,2016-04-24,rain,0.47,0.0254,0.2286,32.5,20.35,0.68
25.7330;-100.3000,2016-04-25,NA,0,0,0,36.94,22.24,0.53
25.7330;-100.3000,2016-04-26,NA,0,0,0,37.31,21.81,0.57
25.7330;-100.3000,2016-04-27,NA,0,0,0,34.32,21.29,0.42
25.7330;-100.3000,2016-04-28,NA,0,0,0,35,23.56,0.54
25.7330;-100.3000,2016-04-29,NA,0,0,0,31.67,21.11,0.66
25.7330;-100.3000,2016-04-30,NA,0,0,0,33.89,21.91,0.43
25.7330;-100.3000,2016-05-01,NA,0,0,0,33.33,18.41,0.55
25.7330;-100.3000,2016-05-02,rain,0.95,1.0033,19.7637,19.58,16.11,0.74
25.7330;-100.3000,2016-05-03,NA,0,0,0,23.33,17.39,0.64
25.7330;-100.3000,2016-05-04,NA,0,0,0,30.56,17.09,0.56
25.7330;-100.3000,2016-05-05,NA,0,0,0,32.04,17.23,0.47
25.7330;-100.3000,2016-05-06,NA,0,0,0,32.22,17.34,0.41
25.7330;-100.3000,2016-05-07,rain,0.42,0.0127,0.3226,28.67,19.26,0.56
25.7330;-100.3000,2016-05-08,NA,0,0,0,29.44,20.12,0.67
25.7330;-100.3000,2016-05-09,rain,1,0.193,4.5847,30.63,20.55,0.7
25.7330;-100.3000,2016-05-10,NA,0,0,0,37.22,22.11,0.57
25.7330;-100.3000,2016-05-11,NA,0,0,0,32.78,22.84,0.64
25.7330;-100.3000,2016-05-12,NA,0,0,0,31.67,21.67,0.68
25.7330;-100.3000,2016-05-13,NA,0,0,0,30.74,21.92,0.64
25.7330;-100.3000,2016-05-14,rain,0.95,0.1905,1.8644,32.22,19.07,0.69
25.7330;-100.3000,2016-05-15,rain,1,0.1194,1.7247,27.22,19.59,0.79
25.7330;-100.3000,2016-05-16,rain,1,0.0762,1.4427,33.89,22.4,0.65
25.7330;-100.3000,2016-05-17,rain,0.05,0.0102,0.2667,35.56,21.29,0.62
25.7330;-100.3000,2016-05-18,rain,0.95,0.193,1.6866,26.53,22,0.76
25.7330;-100.3000,2016-05-19,rain,0.89,0.0152,0.2261,29.8,20.57,0.76
25.7330;-100.3000,2016-05-20,NA,0,0,0,26.57,21.92,0.79
25.7330;-100.3000,2016-05-21,rain,0.95,0.0279,0.348,29.74,23.61,0.81
25.7330;-100.3000,2016-05-22,NA,0,0,0,32.22,22.52,0.75
25.7330;-100.3000,2016-05-23,rain,0.89,0.1143,2.7254,33.33,22.93,0.75
25.7330;-100.3000,2016-05-24,rain,0.89,0.0102,0.2261,33.33,24.86,0.73
25.7330;-100.3000,2016-05-25,rain,0.58,0.0787,1.3513,31.56,21.51,0.75
25.7330;-100.3000,2016-05-26,NA,0,0,0,33.86,21.52,0.67
25.7330;-100.3000,2016-05-27,NA,0,0,0,37.73,21.58,0.53
25.7330;-100.3000,2016-05-28,NA,0,0,0,31.72,22.22,0.66
25.7330;-100.3000,2016-05-29,NA,0,0,0,31.67,22.89,0.73
25.7330;-100.3000,2016-05-30,rain,0.95,0.0483,1.1532,30.29,22.27,0.71
25.7330;-100.3000,2016-05-31,rain,0.53,0.0483,1.0719,33.33,19.89,0.7
25.7330;-100.3000,2016-06-01,rain,0.95,0.8026,14.0843,32.22,21.63,0.72
25.7330;-100.3000,2016-06-02,rain,0.95,0.2718,5.367,30.64,20.18,0.79
25.7330;-100.3000,2016-06-03,NA,0,0,0,31.03,22.12,0.68
25.7330;-100.3000,2016-06-04,rain,0.53,0.061,0.5359,28.73,19.94,0.73
25.7330;-100.3000,2016-06-05,rain,0.89,2.3774,55.4279,29.74,18.38,0.65
25.7330;-100.3000,2016-06-06,NA,0,0,0,32.22,18.01,0.48
25.7330;-100.3000,2016-06-07,NA,0,0,0,33.33,20.35,0.49
25.7330;-100.3000,2016-06-08,NA,0,0,0,33.33,22.22,0.63
25.7330;-100.3000,2016-06-09,NA,0,0,0,31.67,22.89,0.68
25.7330;-100.3000,2016-06-10,rain,0.05,0.0051,0.127,32.22,24.07,0.68
25.7330;-100.3000,2016-06-11,NA,0,0,0,31.11,24.14,0.72
25.7330;-100.3000,2016-06-12,NA,0,0,0,32.79,23.92,0.68
25.7330;-100.3000,2016-06-13,NA,0,0,0,35.56,24.14,0.65
25.7330;-100.3000,2016-06-14,NA,0,0,0,35.13,22.52,0.62
25.7330;-100.3000,2016-06-15,NA,0,0,0,35.56,25,0.6
25.7330;-100.3000,2016-06-16,NA,0,0,0,36.67,24.44,0.59
25.7330;-100.3000,2016-06-17,NA,0,0,0,35.56,24.71,0.63
25.7330;-100.3000,2016-06-18,NA,0,0,0,35.67,21.61,0.58
25.7330;-100.3000,2016-06-19,NA,0,0,0,34.44,20.86,0.58
25.7330;-100.3000,2016-06-20,rain,1,0.4064,5.5372,29.44,21.24,0.76
25.7330;-100.3000,2016-06-21,NA,0,0,0,31.67,21.92,0.69
25.7330;-100.3000,2016-06-22,NA,0,0,0,33.89,22.51,0.6
25.7330;-100.3000,2016-06-23,NA,0,0,0,32.78,22.96,0.6
25.7330;-100.3000,2016-06-24,NA,0,0,0,32.22,21.54,0.62
25.7330;-100.3000,2016-06-25,rain,0.42,0.0051,0.1067,33.36,23.2,0.64
25.7330;-100.3000,2016-06-26,NA,0,0,0,33.41,23.22,0.62
25.7330;-100.3000,2016-06-27,rain,0.42,0.0356,0.5359,33.6,21.97,0.69
25.7330;-100.3000,2016-06-28,rain,0.05,0.0051,0.0762,33.33,23.73,0.67
25.7330;-100.3000,2016-06-29,rain,0.05,0.0051,0.0635,33.33,21.75,0.62
25.7330;-100.3000,2016-06-30,NA,0,0,0,35,23.65,0.54
25.7330;-100.3000,2016-07-01,NA,0,0,0,35.16,23.01,0.57
25.7330;-100.3000,2016-07-02,NA,0,0,0,37.22,24.68,0.56
25.7330;-100.3000,2016-07-03,NA,0,0,0,38.33,24.66,0.56
25.7330;-100.3000,2016-07-04,NA,0,0,0,37.22,25.06,0.56
25.7330;-100.3000,2016-07-05,NA,0,0,0,37.78,23.43,0.54
25.7330;-100.3000,2016-07-06,NA,0,0,0,38.33,24.84,0.53
25.7330;-100.3000,2016-07-07,NA,0,0,0,37.07,25,0.54
25.7330;-100.3000,2016-07-08,NA,0,0,0,36.72,25.08,0.55
25.7330;-100.3000,2016-07-09,NA,0,0,0,36.67,25.4,0.57
25.7330;-100.3000,2016-07-10,NA,0,0,0,34.44,25.48,0.57
25.7330;-100.3000,2016-07-11,NA,0,0,0,38.33,22.12,0.47
25.7330;-100.3000,2016-07-12,NA,0,0,0,37.22,24.05,0.55
25.7330;-100.3000,2016-07-13,NA,0,0,0,36.43,23.72,0.49
25.7330;-100.3000,2016-07-14,NA,0,0,0,37.49,23.77,0.5
25.7330;-100.3000,2016-07-15,NA,0,0,0,37.67,23.35,0.45
25.7330;-100.3000,2016-07-16,NA,0,0,0,37.22,24.26,0.52
25.7330;-100.3000,2016-07-17,NA,0,0,0,37.22,22.92,0.54
25.7330;-100.3000,2016-07-18,NA,0,0,0,37.22,23.52,0.5
25.7330;-100.3000,2016-07-19,NA,0,0,0,36.67,22.17,0.56
25.7330;-100.3000,2016-07-20,rain,0.53,0.2159,4.9555,33.89,22.34,0.61
25.7330;-100.3000,2016-07-21,NA,0,0,0,32.78,21.41,0.64
25.7330;-100.3000,2016-07-22,NA,0,0,0,34.44,23.27,0.59
25.7330;-100.3000,2016-07-23,NA,0,0,0,35.56,23.89,0.55
25.7330;-100.3000,2016-07-24,NA,0,0,0,36.11,24.78,0.53
25.7330;-100.3000,2016-07-25,rain,0.53,0.0457,1.0719,36.67,23.99,0.56
25.7330;-100.3000,2016-07-26,rain,0.53,0.0381,0.9373,35.08,23.18,0.63
25.7330;-100.3000,2016-07-27,rain,0.95,0.3708,3.0607,27.16,22.25,0.78
25.7330;-100.3000,2016-07-28,rain,0.89,0.0127,0.2261,31.86,22.76,0.71
25.7330;-100.3000,2016-07-29,rain,0.95,0.0457,1.0719,33.42,22.32,0.68
25.7330;-100.3000,2016-07-30,NA,0,0,0,34.67,22.56,0.61
25.7330;-100.3000,2016-07-31,NA,0,0,0,35.94,22.59,0.54
25.7330;-100.3000,2016-08-01,NA,0,0,0,36.32,23.52,0.5
25.7330;-100.3000,2016-08-02,NA,0,0,0,35.77,23.01,0.53
25.7330;-100.3000,2016-08-03,NA,0,0,0,35.56,24.07,0.54
25.7330;-100.3000,2016-08-04,NA,0,0,0,35.58,23.99,0.55
25.7330;-100.3000,2016-08-05,NA,0,0,0,36.67,23.43,0.53
25.7330;-100.3000,2016-08-06,rain,0.42,0.0889,2.1463,35.48,22.92,0.61
25.7330;-100.3000,2016-08-07,NA,0,0,0,34.64,24.36,0.61
25.7330;-100.3000,2016-08-08,NA,0,0,0,36.37,25.13,0.57
25.7330;-100.3000,2016-08-09,NA,0,0,0,36.16,23.82,0.59
25.7330;-100.3000,2016-08-10,rain,0.89,0.066,1.59,34.44,24.48,0.65
25.7330;-100.3000,2016-08-11,NA,0,0,0,36.33,23.52,0.56
25.7330;-100.3000,2016-08-12,NA,0,0,0,37.48,24.76,0.51
25.7330;-100.3000,2016-08-13,rain,0.42,0.2159,1.8263,33.08,24.13,0.6
25.7330;-100.3000,2016-08-14,rain,0.95,0.0406,0.5639,27.22,21.76,0.77
25.7330;-100.3000,2016-08-15,rain,0.95,0.4191,3.8608,26.11,19.38,0.86
25.7330;-100.3000,2016-08-16,rain,0.53,0.2286,4.4196,28.89,21.68,0.78
25.7330;-100.3000,2016-08-17,rain,0.89,0.0508,0.7518,29.57,21.86,0.75
25.7330;-100.3000,2016-08-18,NA,0,0,0,32.46,22.46,0.65
25.7330;-100.3000,2016-08-19,NA,0,0,0,33.33,24.31,0.65
25.7330;-100.3000,2016-08-20,rain,0.42,0.0051,0.1067,33.38,19.97,0.69
25.7330;-100.3000,2016-08-21,rain,1,2.0244,15.2197,26.69,21.4,0.87
25.7330;-100.3000,2016-08-22,rain,0.95,0.0762,1.1252,33.42,21.23,0.7
25.7330;-100.3000,2016-08-23,NA,0,0,0,33.86,22.03,0.6
25.7330;-100.3000,2016-08-24,NA,0,0,0,34.04,22.62,0.58
25.7330;-100.3000,2016-08-25,NA,0,0,0,32.57,21.82,0.62
25.7330;-100.3000,2016-08-26,NA,0,0,0,32.7,21.67,0.62
25.7330;-100.3000,2016-08-27,NA,0,0,0,32.75,22.02,0.66
25.7330;-100.3000,2016-08-28,rain,0.53,0.066,1.0719,32.33,22.07,0.66
25.7330;-100.3000,2016-08-29,rain,0.53,0.0279,0.5359,30,22.73,0.75
25.7330;-100.3000,2016-08-30,NA,0,0,0,30.14,21.87,0.7
25.7330;-100.3000,2016-08-31,rain,0.47,0.1676,3.1394,30.56,21.96,0.78
25.7330;-100.3000,2016-09-01,rain,0.53,0.4115,8.1712,31.11,21.97,0.79
25.7330;-100.3000,2016-09-02,rain,0.42,0.066,0.9652,30.84,21.66,0.74
25.7330;-100.3000,2016-09-03,NA,0,0,0,35,21.57,0.71
25.7330;-100.3000,2016-09-04,rain,0.05,0.0127,0.1651,29.76,21.46,0.76
25.7330;-100.3000,2016-09-05,NA,0,0,0,31.11,22.67,0.7
25.7330;-100.3000,2016-09-06,NA,0,0,0,33.33,22.77,0.69
25.7330;-100.3000,2016-09-07,rain,0.05,0.0051,0.0508,32.92,22.27,0.65
25.7330;-100.3000,2016-09-08,NA,0,0,0,32.52,20.63,0.63
25.7330;-100.3000,2016-09-09,NA,0,0,0,32.69,21.08,0.62
25.7330;-100.3000,2016-09-10,rain,0.05,0.0178,0.2413,33.33,22.27,0.64
25.7330;-100.3000,2016-09-11,NA,0,0,0,33.33,22.04,0.64
25.7330;-100.3000,2016-09-12,NA,0,0,0,33.89,22.83,0.61
25.7330;-100.3000,2016-09-13,NA,0,0,0,33.33,23.04,0.68
25.7330;-100.3000,2016-09-14,rain,0.53,0.066,1.6078,32.78,22.02,0.66
25.7330;-100.3000,2016-09-15,NA,0,0,0,31.67,22.17,0.73
25.7330;-100.3000,2016-09-16,rain,0.89,0.2362,4.5441,34.44,22.52,0.72
25.7330;-100.3000,2016-09-17,NA,0,0,0,34.44,23.68,0.66
25.7330;-100.3000,2016-09-18,NA,0,0,0,35.56,23.08,0.62
25.7330;-100.3000,2016-09-19,NA,0,0,0,36.67,22.83,0.59
25.7330;-100.3000,2016-09-20,NA,0,0,0,35,21.86,0.6
25.7330;-100.3000,2016-09-21,NA,0,0,0,35,21.37,0.58
25.7330;-100.3000,2016-09-22,NA,0,0,0,32.22,21.66,0.56
25.7330;-100.3000,2016-09-23,NA,0,0,0,32.95,22.69,0.6
25.7330;-100.3000,2016-09-24,NA,0,0,0,30.89,22.32,0.66
25.7330;-100.3000,2016-09-25,rain,1,0.1372,1.3081,31.67,19.73,0.71
25.7330;-100.3000,2016-09-26,rain,1,0.7569,6.0935,23.89,17.52,0.92
25.7330;-100.3000,2016-09-27,rain,0.89,0.0305,0.6807,22.22,19.62,0.87
25.7330;-100.3000,2016-09-28,NA,0,0,0,26.67,21.92,0.74
25.7330;-100.3000,2016-09-29,NA,0,0,0,27.22,20.88,0.76
25.7330;-100.3000,2016-09-30,rain,0.89,0.0178,0.4547,28.89,19.82,0.7
25.7330;-100.3000,2016-10-01,NA,0,0,0,26.11,20.66,0.7
25.7330;-100.3000,2016-10-02,NA,0,0,0.0127,26.67,17.73,0.72
25.7330;-100.3000,2016-10-03,NA,0,0,0,30.56,19.64,0.73
25.7330;-100.3000,2016-10-04,NA,0,0,0,33.33,21.11,0.66
25.7330;-100.3000,2016-10-05,NA,0,0,0,32.22,22.63,0.69
25.7330;-100.3000,2016-10-06,NA,0,0,0,31.67,21.47,0.7
25.7330;-100.3000,2016-10-07,rain,0.05,0.0127,0.1651,31.67,20.29,0.73
25.7330;-100.3000,2016-10-08,rain,0.53,0.0381,0.6706,26.67,19.82,0.79
25.7330;-100.3000,2016-10-09,NA,0,0,0,28.33,17.78,0.7
25.7330;-100.3000,2016-10-10,NA,0,0,0,27.57,17.78,0.71
25.7330;-100.3000,2016-10-11,NA,0,0,0,29.44,17.47,0.69
25.7330;-100.3000,2016-10-12,NA,0,0,0,32.22,19.52,0.65
25.7330;-100.3000,2016-10-13,NA,0,0,0,30.81,20.81,0.7
25.7330;-100.3000,2016-10-14,NA,0,0,0,30.66,19.34,0.67
25.7330;-100.3000,2016-10-15,NA,0,0,0,31.27,19.75,0.67
25.7330;-100.3000,2016-10-16,NA,0,0,0,30.59,20.35,0.69
25.7330;-100.3000,2016-10-17,NA,0,0,0,32.22,18.96,0.65
25.7330;-100.3000,2016-10-18,NA,0,0,0,32.22,20.09,0.65
25.7330;-100.3000,2016-10-19,NA,0,0,0,31.37,21.46,0.66
