coordinates,date,precipType,precipProbability,precipIntensity,precipIntensityMax,temperatureHigh,temperatureLow,humidity
19.1500;-96.1170,2016-01-11,NA,0,0,0,23.33,20.49,0.83
19.1500;-96.1170,2016-01-12,NA,0,0,0,21.85,19.44,0.83
19.1500;-96.1170,2016-01-13,NA,0,0,0,22.78,19.44,0.8
19.1500;-96.1170,2016-01-14,NA,0,0,0,24.44,20.56,0.89
19.1500;-96.1170,2016-01-15,NA,0,0,0,25.56,21.08,0.91
19.1500;-96.1170,2016-01-16,NA,0,0,0,28.33,22.57,0.92
19.1500;-96.1170,2016-01-17,NA,0,0,0,24.44,20,0.7
19.1500;-96.1170,2016-01-18,rain,0.97,0.0508,0.4902,21.43,18.16,0.86
19.1500;-96.1170,2016-01-19,NA,0,0,0,22.78,17.78,0.91
19.1500;-96.1170,2016-01-20,NA,0,0,0,25,18.89,0.9
19.1500;-96.1170,2016-01-21,NA,0,0,0,26.11,21.67,0.9
19.1500;-96.1170,2016-01-22,NA,0,0,0,22.53,17.17,0.66
19.1500;-96.1170,2016-01-23,NA,0,0,0,23.33,15.63,0.58
19.1500;-96.1170,2016-01-24,NA,0,0,0,25,13.33,0.69
19.1500;-96.1170,2016-01-25,NA,0,0,0,23.89,19.44,0.77
19.1500;-96.1170,2016-01-26,NA,0,0,0,24.44,20.01,0.86
19.1500;-96.1170,2016-01-27,NA,0,0,0,20.76,15.29,0.82
19.1500;-96.1170,2016-01-28,NA,0,0,0,18.89,15.66,0.72
19.1500;-96.1170,2016-01-29,NA,0,0,0,20.56,15.56,0.74
19.1500;-96.1170,2016-01-30,NA,0,0,0,23.33,17.78,0.81
19.1500;-96.1170,2016-01-31,NA,0,0,0,25,17.27,0.89
19.1500;-96.1170,2016-02-01,NA,0,0,0,26.29,21.86,0.93
19.1500;-96.1170,2016-02-02,NA,0,0,0,30.56,22.56,0.86
19.1500;-96.1170,2016-02-03,NA,0,0,0,26.34,20.53,0.72
19.1500;-96.1170,2016-02-04,NA,0,0,0,21.11,18.14,0.66
19.1500;-96.1170,2016-02-05,NA,0,0,0,20.56,17.91,0.77
19.1500;-96.1170,2016-02-06,NA,0,0,0.0178,21.67,19.93,0.76
19.1500;-96.1170,2016-02-07,NA,0,0,0,23.33,16.07,0.66
19.1500;-96.1170,2016-02-08,NA,0,0,0,23.33,17.78,0.66
19.1500;-96.1170,2016-02-09,NA,0,0,0,21.27,19.25,0.74
19.1500;-96.1170,2016-02-10,NA,0,0,0,23.89,14.44,0.66
19.1500;-96.1170,2016-02-11,NA,0,0,0,23.89,17.22,0.7
19.1500;-96.1170,2016-02-12,NA,0,0,0,23.33,18.31,0.74
19.1500;-96.1170,2016-02-13,rain,1,0.0279,0.508,22.78,18.33,0.87
19.1500;-96.1170,2016-02-14,NA,0,0,0,25,16.21,0.87
19.1500;-96.1170,2016-02-15,NA,0,0,0,25,19.44,0.87
19.1500;-96.1170,2016-02-16,NA,0,0,0,25.56,19.39,0.91
19.1500;-96.1170,2016-02-17,NA,0,0,0,26.67,20.7,0.91
19.1500;-96.1170,2016-02-18,NA,0,0,0,25.56,20.56,0.85
19.1500;-96.1170,2016-02-19,NA,0,0,0,25,21.88,0.92
19.1500;-96.1170,2016-02-20,NA,0,0,0,27.22,20.97,0.86
19.1500;-96.1170,2016-02-21,NA,0,0,0,26.67,22.14,0.9
19.1500;-96.1170,2016-02-22,NA,0,0,0,25.56,20.39,0.92
19.1500;-96.1170,2016-02-23,NA,0,0,0,32.78,22.58,0.91
19.1500;-96.1170,2016-02-24,NA,0,0,0,23.45,17.78,0.8
19.1500;-96.1170,2016-02-25,NA,0,0,0,23.33,18.58,0.66
19.1500;-96.1170,2016-02-26,rain,1,0.0254,0.254,20,17.78,0.94
19.1500;-96.1170,2016-02-27,NA,0,0,0,21.67,19.44,0.91
19.1500;-96.1170,2016-02-28,NA,0,0,0,24.44,19.44,0.84
19.1500;-96.1170,2016-02-29,NA,0,0,0,26.67,22.22,0.87
19.1500;-96.1170,2016-03-01,NA,0,0,0,25,21.87,0.92
19.1500;-96.1170,2016-03-02,NA,0,0,0,26.11,21.17,0.92
19.1500;-96.1170,2016-03-03,NA,0,0,0,26.11,22.18,0.9
19.1500;-96.1170,2016-03-04,NA,0,0,0,24.44,21.43,0.94
19.1500;-96.1170,2016-03-05,NA,0,0,0,28.33,20.68,0.88
19.1500;-96.1170,2016-03-06,rain,0.03,0.0203,0.3454,26.67,22.6,0.91
19.1500;-96.1170,2016-03-07,NA,0,0,0,26.67,20.81,0.91
19.1500;-96.1170,2016-03-08,NA,0,0,0,32.78,25.41,0.79
19.1500;-96.1170,2016-03-09,NA,0,0,0,31.86,21.23,0.54
19.1500;-96.1170,2016-03-10,NA,0,0,0,24.44,21.04,0.79
19.1500;-96.1170,2016-03-11,NA,0,0,0,25.56,22.22,0.87
19.1500;-96.1170,2016-03-12,NA,0,0,0,26.11,20,0.87
19.1500;-96.1170,2016-03-13,NA,0,0,0,28.33,22.31,0.91
19.1500;-96.1170,2016-03-14,NA,0,0,0,26.67,22.56,0.93
19.1500;-96.1170,2016-03-15,NA,0,0,0,30.56,23.69,0.91
19.1500;-96.1170,2016-03-16,NA,0,0,0,28.33,23.29,0.93
19.1500;-96.1170,2016-03-17,NA,0,0,0,28.89,23.82,0.92
19.1500;-96.1170,2016-03-18,NA,0,0,0,29.44,23.34,0.92
19.1500;-96.1170,2016-03-19,NA,0,0,0,27.78,22.11,0.87
19.1500;-96.1170,2016-03-20,NA,0,0,0,23.57,20.69,0.74
19.1500;-96.1170,2016-03-21,NA,0,0,0,21.67,17.78,0.73
19.1500;-96.1170,2016-03-22,NA,0,0,0,23.89,15,0.79
19.1500;-96.1170,2016-03-23,NA,0,0,0,26.67,21.67,0.85
19.1500;-96.1170,2016-03-24,NA,0,0,0,30.56,22.74,0.88
19.1500;-96.1170,2016-03-25,NA,0,0,0,26.67,23.3,0.8
19.1500;-96.1170,2016-03-26,NA,0,0,0,28.33,23.26,0.9
19.1500;-96.1170,2016-03-27,NA,0,0,0,30,24.27,0.93
19.1500;-96.1170,2016-03-28,NA,0,0,0,27.78,22.78,0.93
19.1500;-96.1170,2016-03-29,NA,0,0,0,28.33,23.75,0.94
19.1500;-96.1170,2016-03-30,NA,0,0,0,30,24.37,0.91
19.1500;-96.1170,2016-03-31,NA,0,0,0,33.89,23.89,0.81
19.1500;-96.1170,2016-04-01,NA,0,0,0,37.22,23.39,0.66
19.1500;-96.1170,2016-04-02,NA,0,0,0,23.97,21.47,0.83
19.1500;-96.1170,2016-04-03,NA,0,0,0,25,21.03,0.74
19.1500;-96.1170,2016-04-04,NA,0,0,0,25.56,22.58,0.74
19.1500;-96.1170,2016-04-05,NA,0,0,0,26.67,21.84,0.8
19.1500;-96.1170,2016-04-06,NA,0,0,0,27.22,23.27,0.86
19.1500;-96.1170,2016-04-07,NA,0,0,0,27.78,22.14,0.9
19.1500;-96.1170,2016-04-08,NA,0,0,0,27.78,22.22,0.89
19.1500;-96.1170,2016-04-09,NA,0,0,0,27.78,22.97,0.87
19.1500;-96.1170,2016-04-10,NA,0,0,0,27.78,24.09,0.9
19.1500;-96.1170,2016-04-11,NA,0,0,0,28.87,25.02,0.9
19.1500;-96.1170,2016-04-12,NA,0,0,0,29.44,24.29,0.89
19.1500;-96.1170,2016-04-13,NA,0,0,0,30.56,25,0.9
19.1500;-96.1170,2016-04-14,NA,0,0,0,29.44,24.96,0.9
19.1500;-96.1170,2016-04-15,NA,0,0,0,28.89,24.04,0.92
19.1500;-96.1170,2016-04-16,NA,0,0,0,30,25.39,0.91
19.1500;-96.1170,2016-04-17,NA,0,0,0,30.56,26.46,0.91
19.1500;-96.1170,2016-04-18,NA,0,0,0,30,23.91,0.93
19.1500;-96.1170,2016-04-19,NA,0,0,0,28.33,24.42,0.87
19.1500;-96.1170,2016-04-20,NA,0,0,0,28.89,22.78,0.83
19.1500;-96.1170,2016-04-21,NA,0,0,0,31.67,25.38,0.79
19.1500;-96.1170,2016-04-22,NA,0,0,0,29.44,24.25,0.89
19.1500;-96.1170,2016-04-23,NA,0,0,0,28.89,25.3,0.86
19.1500;-96.1170,2016-04-24,NA,0,0,0,30.56,25,0.87
19.1500;-96.1170,2016-04-25,NA,0,0,0,32.22,26.12,0.89
19.1500;-96.1170,2016-04-26,NA,0,0,0,34.44,26.11,0.89
19.1500;-96.1170,2016-04-27,NA,0,0,0,35.56,25.16,0.79
19.1500;-96.1170,2016-04-28,NA,0,0,0,32.22,26.17,0.9
19.1500;-96.1170,2016-04-29,NA,0,0,0,35,25,0.8
19.1500;-96.1170,2016-04-30,NA,0,0,0,35.56,25,0.67
19.1500;-96.1170,2016-05-01,NA,0,0,0,33.33,25.88,0.7
19.1500;-96.1170,2016-05-02,NA,0,0,0,31.67,26.81,0.81
19.1500;-96.1170,2016-05-03,rain,0.97,0.0127,0.2464,29.44,25,0.87
19.1500;-96.1170,2016-05-04,rain,0.97,0.0127,0.2464,28.33,23.96,0.89
19.1500;-96.1170,2016-05-05,NA,0,0,0,27.22,24.18,0.85
19.1500;-96.1170,2016-05-06,NA,0,0,0,27.78,22.78,0.67
19.1500;-96.1170,2016-05-07,NA,0,0,0,28.33,23.27,0.69
19.1500;-96.1170,2016-05-08,NA,0,0,0,28.33,23.97,0.73
19.1500;-96.1170,2016-05-09,NA,0,0,0,31.11,25.37,0.89
19.1500;-96.1170,2016-05-10,NA,0,0,0,30.56,25.68,0.91
19.1500;-96.1170,2016-05-11,NA,0,0,0,30.56,26.13,0.9
19.1500;-96.1170,2016-05-12,NA,0,0,0,30.56,26.44,0.88
19.1500;-96.1170,2016-05-13,NA,0,0,0,31.67,25.68,0.85
19.1500;-96.1170,2016-05-14,NA,0,0,0.0178,28.89,25,0.89
19.1500;-96.1170,2016-05-15,NA,0,0,0,30.56,26.84,0.87
19.1500;-96.1170,2016-05-16,NA,0,0,0,31.67,26.82,0.91
19.1500;-96.1170,2016-05-17,NA,0,0,0,32.22,27.64,0.91
19.1500;-96.1170,2016-05-18,NA,0,0,0,32.78,25.72,0.89
19.1500;-96.1170,2016-05-19,rain,0.97,0.0279,0.4902,33.33,27.95,0.91
19.1500;-96.1170,2016-05-20,NA,0,0,0,32.22,27.78,0.88
19.1500;-96.1170,2016-05-21,NA,0,0,0,32.22,27.97,0.91
19.1500;-96.1170,2016-05-22,NA,0,0,0,33.33,28.31,0.89
19.1500;-96.1170,2016-05-23,NA,0,0,0,32.22,28.39,0.88
19.1500;-96.1170,2016-05-24,NA,0,0,0,32.78,28.5,0.87
19.1500;-96.1170,2016-05-25,NA,0,0,0,32.78,28.11,0.9
19.1500;-96.1170,2016-05-26,NA,0,0,0,32.22,27.95,0.9
19.1500;-96.1170,2016-05-27,NA,0,0,0,32.22,27.91,0.89
19.1500;-96.1170,2016-05-28,NA,0,0,0,32.78,27.16,0.9
19.1500;-96.1170,2016-05-29,NA,0,0,0,33.89,27.13,0.86
19.1500;-96.1170,2016-05-30,NA,0,0,0,32.22,26.81,0.85
19.1500;-96.1170,2016-05-31,NA,0,0,0,32.22,26.9,0.86
19.1500;-96.1170,2016-06-01,NA,0,0,0,32.22,26.8,0.87
19.1500;-96.1170,2016-06-02,NA,0,0,0,32.22,27.79,0.82
19.1500;-96.1170,2016-06-03,NA,0,0,0,31.11,25.34,0.82
19.1500;-96.1170,2016-06-04,NA,0,0,0,32.78,25.56,0.81
19.1500;-96.1170,2016-06-05,NA,0,0,0,30,23.33,0.79
19.1500;-96.1170,2016-06-06,NA,0,0,0,31.11,23.89,0.83
19.1500;-96.1170,2016-06-07,NA,0,0,0,33.89,25.71,0.79
19.1500;-96.1170,2016-06-08,NA,0,0,0,33.33,27.51,0.79
19.1500;-96.1170,2016-06-09,NA,0,0,0,31.67,26.78,0.83
19.1500;-96.1170,2016-06-10,NA,0,0,0,32.78,26.12,0.8
19.1500;-96.1170,2016-06-11,NA,0,0,0,32.22,25.07,0.86
19.1500;-96.1170,2016-06-12,NA,0,0,0.0076,30,23.33,0.91
19.1500;-96.1170,2016-06-13,NA,0,0,0,31.67,26.44,0.85
19.1500;-96.1170,2016-06-14,NA,0,0,0,32.22,27.18,0.84
19.1500;-96.1170,2016-06-15,NA,0,0,0,34.44,27.2,0.72
19.1500;-96.1170,2016-06-16,NA,0,0,0,31.67,25.09,0.87
19.1500;-96.1170,2016-06-17,rain,0.97,0.1168,2.2073,32.78,26.46,0.87
19.1500;-96.1170,2016-06-18,NA,0,0,0,32.22,25.33,0.86
19.1500;-96.1170,2016-06-19,NA,0,0,0,32.22,26.09,0.84
19.1500;-96.1170,2016-06-20,rain,0.97,0.3556,6.8656,28.33,23.33,0.9
19.1500;-96.1170,2016-06-21,rain,0.97,0.1676,2.2073,29.44,23.33,0.91
19.1500;-96.1170,2016-06-22,NA,0,0,0,30.56,23.89,0.87
19.1500;-96.1170,2016-06-23,NA,0,0,0,31.67,26.11,0.81
19.1500;-96.1170,2016-06-24,NA,0,0,0,31.67,24.99,0.83
19.1500;-96.1170,2016-06-25,NA,0,0,0,31.11,27.5,0.87
19.1500;-96.1170,2016-06-26,NA,0,0,0,31.67,26.49,0.83
19.1500;-96.1170,2016-06-27,rain,0.97,0.0254,0.4902,32.22,25,0.84
19.1500;-96.1170,2016-06-28,NA,0,0,0.0178,31.67,23.89,0.81
19.1500;-96.1170,2016-06-29,NA,0,0,0,31.67,25.36,0.83
19.1500;-96.1170,2016-06-30,NA,0,0,0,31.67,23.87,0.77
19.1500;-96.1170,2016-07-01,rain,0.97,0.0127,0.2464,31.67,26.11,0.84
19.1500;-96.1170,2016-07-02,rain,0.97,0.0254,0.4902,31.67,26.81,0.87
19.1500;-96.1170,2016-07-03,NA,0,0,0,31.67,27.44,0.86
19.1500;-96.1170,2016-07-04,NA,0,0,0,33.33,24.44,0.85
19.1500;-96.1170,2016-07-05,rain,0.97,0.0635,0.9804,31.11,26.67,0.83
19.1500;-96.1170,2016-07-06,NA,0,0,0,32.78,26.44,0.86
19.1500;-96.1170,2016-07-07,NA,0,0,0,31.67,26.49,0.84
19.1500;-96.1170,2016-07-08,NA,0,0,0,32.22,26.43,0.86
19.1500;-96.1170,2016-07-09,rain,0.97,0.0635,1.2268,32.22,26.41,0.81
19.1500;-96.1170,2016-07-10,rain,0.97,0.193,3.6779,32.22,26.31,0.81
19.1500;-96.1170,2016-07-11,NA,0,0,0,31.11,26.47,0.86
19.1500;-96.1170,2016-07-12,NA,0,0,0,31.67,22.78,0.87
19.1500;-96.1170,2016-07-13,rain,0.97,0.2337,4.6584,31.67,21.68,0.87
19.1500;-96.1170,2016-07-14,NA,0,0,0,33.33,24.92,0.81
19.1500;-96.1170,2016-07-15,NA,0,0,0,31.67,26.11,0.81
19.1500;-96.1170,2016-07-16,NA,0,0,0,30.56,25.32,0.88
19.1500;-96.1170,2016-07-17,NA,0,0,0,31.11,25.62,0.76
19.1500;-96.1170,2016-07-18,NA,0,0,0.0076,30.56,24.58,0.8
19.1500;-96.1170,2016-07-19,NA,0,0,0,30.56,23.89,0.85
19.1500;-96.1170,2016-07-20,rain,1,1.1227,6.604,30,24.18,0.88
19.1500;-96.1170,2016-07-21,rain,1,0.1473,2.794,29.44,23.89,0.87
19.1500;-96.1170,2016-07-22,rain,0.97,0.0864,1.717,29.44,24.44,0.88
19.1500;-96.1170,2016-07-23,NA,0,0,0,30.56,26.03,0.84
19.1500;-96.1170,2016-07-24,NA,0,0,0,31.11,26.06,0.85
19.1500;-96.1170,2016-07-25,NA,0,0,0,31.67,26.45,0.85
19.1500;-96.1170,2016-07-26,NA,0,0,0,32.22,24.97,0.83
19.1500;-96.1170,2016-07-27,NA,0,0,0,32.78,25.56,0.86
19.1500;-96.1170,2016-07-28,NA,0,0,0,31.67,24.95,0.84
19.1500;-96.1170,2016-07-29,NA,0,0,0,31.11,25,0.83
19.1500;-96.1170,2016-07-30,rain,1,0.4394,7.8461,28.33,22.78,0.9
19.1500;-96.1170,2016-07-31,rain,0.97,0.0254,0.4902,32.22,25.56,0.83
19.1500;-96.1170,2016-08-01,NA,0,0,0,31.67,24.95,0.8
19.1500;-96.1170,2016-08-02,NA,0,0,0,31.11,25.56,0.84
19.1500;-96.1170,2016-08-03,NA,0,0,0,31.67,25.56,0.79
19.1500;-96.1170,2016-08-04,rain,0.97,0.0381,0.4902,30.56,24.73,0.87
19.1500;-96.1170,2016-08-05,rain,1,2.9337,12.0142,27.58,24.38,0.93
19.1500;-96.1170,2016-08-06,rain,1,0.2032,2.794,31.67,25.56,0.86
19.1500;-96.1170,2016-08-07,NA,0,0,0,31.11,24.34,0.86
19.1500;-96.1170,2016-08-08,NA,0,0,0,31.67,25.56,0.86
19.1500;-96.1170,2016-08-09,NA,0,0,0,32.22,26.11,0.89
19.1500;-96.1170,2016-08-10,NA,0,0,0,32.22,27.22,0.88
19.1500;-96.1170,2016-08-11,NA,0,0,0,32.78,26.46,0.87
19.1500;-96.1170,2016-08-12,NA,0,0,0,32.78,27.22,0.87
19.1500;-96.1170,2016-08-13,NA,0,0,0,33.33,27.78,0.86
19.1500;-96.1170,2016-08-14,NA,0,0,0,32.78,27.11,0.84
19.1500;-96.1170,2016-08-15,NA,0,0,0,32.78,23.89,0.84
19.1500;-96.1170,2016-08-16,rain,1,0.0787,0.7366,28.33,25,0.95
19.1500;-96.1170,2016-08-17,rain,0.97,0.2819,5.1486,30,24.44,0.91
19.1500;-96.1170,2016-08-18,NA,0,0,0,31.67,24.61,0.89
19.1500;-96.1170,2016-08-19,NA,0,0,0,31.11,26.09,0.86
19.1500;-96.1170,2016-08-20,NA,0,0,0,31.67,26.49,0.87
19.1500;-96.1170,2016-08-21,NA,0,0,0,32.22,24.97,0.88
19.1500;-96.1170,2016-08-22,rain,0.97,1.8186,15.4457,28.89,23.07,0.93
19.1500;-96.1170,2016-08-23,rain,0.97,0.8814,4.6584,26.67,23.92,0.94
19.1500;-96.1170,2016-08-24,NA,0,0,0,31.67,24.07,0.86
19.1500;-96.1170,2016-08-25,NA,0,0,0,31.11,24.92,0.88
19.1500;-96.1170,2016-08-26,NA,0,0,0,32.22,24.94,0.86
19.1500;-96.1170,2016-08-27,NA,0,0,0,31.67,25.67,0.84
19.1500;-96.1170,2016-08-28,NA,0,0,0,32.78,25.56,0.86
19.1500;-96.1170,2016-08-29,NA,0,0,0,31.67,25.56,0.84
19.1500;-96.1170,2016-08-30,rain,1,0.0635,1.27,31.67,25.67,0.86
19.1500;-96.1170,2016-08-31,NA,0,0,0,32.78,26.41,0.81
19.1500;-96.1170,2016-09-01,NA,0,0,0,32.78,25.99,0.83
19.1500;-96.1170,2016-09-02,NA,0,0,0,31.11,24.44,0.86
19.1500;-96.1170,2016-09-03,rain,0.97,0.1092,1.2268,29.44,23.89,0.92
19.1500;-96.1170,2016-09-04,rain,0.97,0.0584,0.7366,28.89,23.89,0.89
19.1500;-96.1170,2016-09-05,NA,0,0,0,30.56,24.11,0.86
19.1500;-96.1170,2016-09-06,rain,0.97,0.2946,5.6388,31.11,20.4,0.81
19.1500;-96.1170,2016-09-07,NA,0,0,0,32.22,22.36,0.77
19.1500;-96.1170,2016-09-08,NA,0,0,0.0178,31.82,22.96,0.74
19.1500;-96.1170,2016-09-09,NA,0,0,0,31.89,24.07,0.75
19.1500;-96.1170,2016-09-10,NA,0,0,0,31.95,23.89,0.76
19.1500;-96.1170,2016-09-11,rain,0.97,0.0127,0.2464,30,22.93,0.83
19.1500;-96.1170,2016-09-12,rain,1,0.221,4.4221,31.86,23.92,0.81
19.1500;-96.1170,2016-09-13,NA,0,0,0,32.78,24.08,0.78
19.1500;-96.1170,2016-09-14,rain,0.97,0.3099,4.1681,32.22,24.01,0.77
19.1500;-96.1170,2016-09-15,rain,0.97,0.193,2.4511,31.11,23.98,0.85
19.1500;-96.1170,2016-09-16,NA,0,0,0,30.93,23.97,0.83
19.1500;-96.1170,2016-09-17,rain,1,0.2794,5.588,30,23.95,0.86
19.1500;-96.1170,2016-09-18,NA,0,0,0,32.22,23.95,0.78
19.1500;-96.1170,2016-09-19,NA,0,0,0,31.67,22.99,0.8
19.1500;-96.1170,2016-09-20,NA,0,0,0,31.11,22.46,0.83
19.1500;-96.1170,2016-09-21,rain,0.97,0.5944,9.0703,29.44,22.39,0.85
19.1500;-96.1170,2016-09-22,NA,0,0,0,31.11,22.93,0.78
19.1500;-96.1170,2016-09-23,NA,0,0,0,31.91,23.33,0.77
19.1500;-96.1170,2016-09-24,rain,0.97,0.5537,10.541,30.56,23.33,0.81
19.1500;-96.1170,2016-09-25,rain,1,0.221,3.1877,30.56,23.89,0.85
19.1500;-96.1170,2016-09-26,NA,0,0,0,30.56,23.89,0.84
19.1500;-96.1170,2016-09-27,rain,0.97,0.0254,0.4902,30.56,23.03,0.84
19.1500;-96.1170,2016-09-28,rain,0.97,0.0279,0.4902,30.56,23.92,0.82
19.1500;-96.1170,2016-09-29,NA,0,0,0,31.11,23.98,0.8
19.1500;-96.1170,2016-09-30,NA,0,0,0,31.67,23.83,0.78
19.1500;-96.1170,2016-10-01,NA,0,0,0,30.89,23.89,0.79
19.1500;-96.1170,2016-10-02,NA,0,0,0,31.67,22.97,0.76
19.1500;-96.1170,2016-10-03,NA,0,0,0,30.87,23.05,0.8
19.1500;-96.1170,2016-10-04,NA,0,0,0,31.94,25.27,0.79
19.1500;-96.1170,2016-10-05,NA,0,0,0,31.98,24.01,0.8
19.1500;-96.1170,2016-10-06,NA,0,0,0,31.92,23.92,0.8
19.1500;-96.1170,2016-10-07,rain,1,1.0439,19.812,31.86,22.87,0.77
19.1500;-96.1170,2016-10-08,rain,1,1.4046,26.67,31.11,22.78,0.81
19.1500;-96.1170,2016-10-09,rain,0.97,0.0406,0.4902,26.67,22.69,0.84
19.1500;-96.1170,2016-10-10,NA,0,0,0,29.44,22.39,0.82
19.1500;-96.1170,2016-10-11,NA,0,0,0,30.83,22.87,0.7
19.1500;-96.1170,2016-10-12,NA,0,0,0,30.56,22.81,0.77
19.1500;-96.1170,2016-10-13,rain,0.97,0.1041,1.2268,31.11,22.78,0.77
19.1500;-96.1170,2016-10-14,NA,0,0,0,30.96,22.24,0.78
19.1500;-96.1170,2016-10-15,NA,0,0,0,30.56,20.51,0.77
19.1500;-96.1170,2016-10-16,NA,0,0,0,30,22.37,0.8
19.1500;-96.1170,2016-10-17,NA,0,0,0,30.84,22.27,0.78
19.1500;-96.1170,2016-10-18,NA,0,0,0,31.11,23.98,0.78
19.1500;-96.1170,2016-10-19,NA,0,0,0,31.89,22.3,0.76
19.1500;-96.1170,2016-10-20,rain,0.97,0.0254,0.4902,30.56,22.88,0.79
19.1500;-96.1170,2016-10-21,NA,0,0,0,30.75,22.41,0.71
19.1500;-96.1170,2016-10-22,NA,0,0,0,28.92,22.22,0.73
19.1500;-96.1170,2016-10-23,rain,0.97,0.0127,0.2464,27.78,21.48,0.86
19.1500;-96.1170,2016-10-24,rain,0.97,0.0127,0.2464,27.78,21.34,0.84
19.1500;-96.1170,2016-10-25,rain,0.97,0.0508,0.9804,29.79,21.27,0.72
19.1500;-96.1170,2016-10-26,NA,0,0,0,29.67,21.23,0.75
