CITY,2/1/2016,9/1/2016,16/1/2016,23/1/2016,30/1/2016,6/2/2016,13/2/2016,20/2/2016,27/2/2016,5/3/2016,12/3/2016,19/3/2016,26/3/2016,2/4/2016,9/4/2016,16/4/2016,23/4/2016,30/4/2016,7/5/2016,14/5/2016,21/5/2016,28/5/2016,4/6/2016,11/6/2016,18/6/2016,25/6/2016,2/7/2016,9/7/2016,16/7/2016,23/7/2016,30/7/2016,6/8/2016,13/8/2016,20/8/2016,27/8/2016,3/9/2016,10/9/2016,17/9/2016,24/9/2016,1/10/2016,8/10/2016,15/10/2016,22/10/2016,29/10/2016,5/11/2016,12/11/2016,19/11/2016,26/11/2016,3/12/2016,10/12/2016,17/12/2016,24/12/2016,31/12/2016
Querétaro,0,0,19,32,59,9,22,38,0,0,21,0,41,74,27,16,0,0,12,0,0,5,0,0,0,20,0,0,0,0,0,10,0,5,5,3,15,14,4,9,0,0,5,0,0,13,16,0,0,0,0,0,0
Quintana Roo,0,0,0,0,30,40,13,34,34,24,25,21,25,0,0,0,0,17,0,0,0,7,11,0,0,0,6,0,0,0,0,61,6,7,57,29,72,49,77,38,62,59,34,47,39,16,57,64,100,32,74,0,37
San Luis Potosi,0,0,0,0,24,32,14,12,0,0,13,0,0,23,0,0,26,16,0,44,0,13,0,12,0,0,0,0,0,13,0,13,0,0,7,4,20,0,5,6,0,0,0,0,0,0,21,0,0,0,0,0,0
Sinaloa,0,0,47,9,90,29,18,39,46,17,17,17,20,17,0,16,0,0,0,34,0,0,8,0,0,0,0,0,0,0,16,0,0,0,0,0,29,0,4,0,14,40,10,26,23,14,17,0,0,28,35,0,34
Sonora,0,0,0,0,49,29,19,8,24,0,18,16,0,16,0,0,0,0,10,16,0,5,24,8,0,0,0,0,0,9,0,0,0,4,5,6,0,0,11,4,0,7,4,0,0,0,0,0,0,0,0,0,0
State of Mexico,0,19,9,15,38,24,20,9,15,16,7,3,13,11,17,13,10,2,9,6,7,4,4,3,1,3,1,3,4,6,6,5,5,7,6,3,4,1,2,7,2,5,3,1,2,4,3,4,3,0,0,0,0
Tabasco,0,0,31,67,51,26,17,15,64,16,83,0,0,30,42,0,67,0,19,29,0,9,30,0,0,0,0,14,0,34,0,68,9,33,60,47,81,93,24,46,54,74,17,27,54,23,0,23,0,100,60,86,0
Tamaulipas,0,0,0,28,56,8,48,8,36,9,9,0,19,0,24,15,19,0,11,49,0,0,16,0,0,0,0,8,0,0,0,0,0,18,15,3,44,20,12,31,3,22,0,14,51,67,31,77,32,27,62,66,0
Tlaxcala,0,0,0,0,34,23,0,0,0,0,28,100,57,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Veracruz,0,0,16,27,65,33,32,35,17,34,35,15,52,32,23,14,18,11,15,0,5,5,0,8,0,18,2,15,31,37,48,100,93,95,99,60,100,92,65,32,23,59,23,26,57,35,50,12,8,38,16,11,16
Yucatan,0,100,17,47,80,49,19,100,48,26,45,16,19,34,24,28,35,0,10,46,0,4,0,8,11,18,8,23,0,28,32,12,11,49,53,32,94,98,100,100,54,100,64,100,86,48,44,100,63,26,0,86,64
Zacatecas,0,0,0,0,0,21,28,0,34,0,0,45,0,0,65,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
