Date,Searches,WeekNumber,Cases,Week1-Prediction,Week2-Prediction,Week3-Prediction,Week4-Prediction,Naive-1Week,Naive-2Week,Naive-3Week,Naive-4Week,Week1-Error,Week2-Error,Week3-Error,Week4-Error
23/07/2016,0.75,30,46.0,-3.8048702404105663,-30.770117694370747,-3.3389869859978556,16.103724127669334,45,55,45,43,-49.804870240410565,-76.77011769437075,-49.338986985997856,-29.896275872330666
30/07/2016,0.64,31,21.0,6.36911384160161,-21.839856371586322,-35.3618300577569,-8.52692676805079,46,45,55,45,-14.63088615839839,-42.83985637158632,-56.3618300577569,-29.526926768050792
06/08/2016,0.34,32,20.0,9.299122579475641,-13.247210529839993,-26.444929791281222,-40.75710297013998,21,46,45,55,-10.700877420524359,-33.24721052983999,-46.444929791281226,-60.75710297013998
13/08/2016,0.14,33,16.0,16.36292271083951,-1.0064055882377922,-19.943160192059278,-29.44991719430685,20,21,46,45,0.3629227108395092,-17.006405588237794,-35.94316019205928,-45.44991719430685
20/08/2016,0.21,34,15.0,7.228476083403826,8.495607127153873,-15.826545966631175,-33.21586589394092,16,20,21,46,-7.771523916596174,-6.504392872846127,-30.826545966631173,-48.21586589394092
27/08/2016,0.11,35,28.999999999999996,-4.201832945955991,8.761179892098903,-2.672050702035129,-30.951592935435773,15,16,20,21,-33.201832945955985,-20.23882010790109,-31.672050702035126,-59.95159293543577
03/09/2016,0.19,36,3.0,1.694877672792673,-15.154513758375645,5.762349351525605,-5.052434769844413,29,15,16,20,-1.305122327207327,-18.154513758375643,2.7623493515256046,-8.052434769844414
10/09/2016,0.14,37,2.0,-2.124885355824232,-18.287246046602725,1.5237221838143469,13.284071619079112,3,29,15,16,-4.124885355824232,-20.287246046602725,-0.4762778161856531,11.284071619079112
17/09/2016,0.16,38,12.0,3.422633931890726,-6.858112640912533,-2.6299786142286656,19.14567836386204,2,3,29,15,-8.577366068109274,-18.858112640912534,-14.629978614228666,7.145678363862039
24/09/2016,0.13,39,1.0,5.875743774915934,-4.050250580289364,-1.9059872609028221,12.976523957437873,12,2,3,29,4.875743774915934,-5.050250580289364,-2.905987260902822,11.976523957437873
01/10/2016,0.11,40,47.0,-1.2174282874953746,-3.6923260448527335,0.6656693006494642,13.49402929815054,1,12,2,3,-48.21742828749537,-50.692326044852734,-46.33433069935054,-33.50597070184946
