Date,Searches,WeekNumber,Cases,Week1-Prediction,Week2-Prediction,Week3-Prediction,Week4-Prediction,Naive-1Week,Naive-2Week,Naive-3Week,Naive-4Week,Week1-Error,Week2-Error,Week3-Error,Week4-Error
21/05/2016,0.11,21,0.0,5.110287705339491,1.8762479994138703,1.6523805954638868,5.350941001582891,1,2,0,0,5.110287705339491,1.8762479994138703,1.6523805954638868,5.350941001582891
28/05/2016,0.17,22,0.0,4.246075516544282,3.30190677628126,2.164580748863891,5.9726467156685885,0,1,2,0,4.246075516544282,3.30190677628126,2.164580748863891,5.9726467156685885
04/06/2016,0.16,23,0.0,3.6724484808370472,3.026993251135014,2.6355443570349366,2.030008924587816,0,0,1,2,3.6724484808370472,3.026993251135014,2.6355443570349366,2.030008924587816
11/06/2016,0.08,24,3.0,2.687640673138201,-0.6709403623977676,2.4431135932061823,-0.9474118025787175,0,0,0,1,-0.3123593268617988,-3.6709403623977677,-0.5568864067938177,-3.9474118025787175
18/06/2016,0.08,25,1.0,2.139941211952269,-5.060427473298646,0.9142909218195826,-4.778832290828973,3,0,0,0,1.139941211952269,-6.060427473298646,-0.0857090781804174,-5.778832290828973
25/06/2016,0.09,26,1.0,-1.2079072849556804,-3.303493401680328,0.3185949845615774,-1.9709151371531188,1,3,0,0,-2.2079072849556804,-4.303493401680328,-0.6814050154384226,-2.970915137153119
02/07/2016,0.09,27,9.0,-3.0775165414854886,-3.2719663994649424,2.9588508634958415,0.25650867051705717,1,1,3,0,-12.077516541485489,-12.271966399464942,-6.041149136504158,-8.743491329482943
09/07/2016,0.1,28,15.000000000000002,-3.2551218775853514,-4.658874042014219,0.6097265412155539,0.6199830922238528,9,1,1,3,-18.255121877585353,-19.65887404201422,-14.390273458784447,-14.380016907776149
16/07/2016,0.15,29,18.0,-2.386320865921676,-6.294332144293189,-0.9089030441787094,0.027785588417202235,15,9,1,1,-20.386320865921675,-24.29433214429319,-18.90890304417871,-17.972214411582797
23/07/2016,0.25,30,43.0,-2.8546999368712305,-6.125092101725936,-1.9875762149151415,-1.7464810812748968,18,15,9,1,-45.85469993687123,-49.12509210172593,-44.987576214915144,-44.746481081274894
30/07/2016,0.61,31,74.0,3.0736046787872913,-7.025487811622024,-2.787564225270972,-2.3322377926044164,43,18,15,9,-70.92639532121271,-81.02548781162203,-76.78756422527097,-76.33223779260442
06/08/2016,0.69,32,42.0,16.197879854090512,-10.182578603407741,-6.461664005380497,-2.0423078402526675,74,43,18,15,-25.802120145909488,-52.18257860340774,-48.4616640053805,-44.04230784025267
