Date,Searches,WeekNumber,Cases,Week1-Prediction,Week2-Prediction,Week3-Prediction,Week4-Prediction,Naive-1Week,Naive-2Week,Naive-3Week,Naive-4Week,Week1-Error,Week2-Error,Week3-Error,Week4-Error
13/06/2016,0.21,24,-2.9999999999999996,-11.10736929422021,-30.245342851490975,117.55894789422035,54.62877759440422,-3,-3,-3,-3,-8.10736929422021,-27.245342851490975,120.55894789422035,57.62877759440422
20/06/2016,0.28,25,1.9999999999999998,-9.501401388536692,-7.344560981166959,67.06825954577447,129.26622318449975,-3,-3,-3,-3,-11.501401388536692,-9.344560981166959,65.06825954577447,127.26622318449975
27/06/2016,0.19,26,54.0,-5.491900854936838,-12.904704174163937,-13.186077739726901,60.46131737543106,2,-3,-3,-3,-59.49190085493684,-66.90470417416394,-67.1860777397269,6.461317375431058
04/07/2016,0.26,27,54.0,-13.986875275341273,-0.3910209340029955,-9.000011623482107,-4.843848834325671,54,2,-3,-3,-67.98687527534128,-54.391020934002995,-63.00001162348211,-58.84384883432567
11/07/2016,0.27,28,54.0,12.431590708192587,18.62254713523388,-7.800325513607859,-3.029155579683185,54,54,2,-3,-41.56840929180741,-35.37745286476612,-61.80032551360786,-57.029155579683184
18/07/2016,0.21,29,54.0,27.380873504428862,46.21139069515705,27.58844073674202,9.188056093261839,54,54,54,2,-26.619126495571138,-7.78860930484295,-26.41155926325798,-44.811943906738165
25/07/2016,0.2,30,54.0,58.503533773908615,83.20331059627055,64.8576792216301,53.26450359741211,54,54,54,54,4.5035337739086145,29.203310596270555,10.857679221630093,-0.7354964025878914
01/08/2016,0.34,31,57.0,56.953558290405276,79.51975695734501,74.09527076471329,64.77809646690369,54,54,54,54,-0.046441709594724045,22.51975695734501,17.09527076471329,7.7780964669036905
08/08/2016,0.2,32,-93.0,67.8102850219059,91.51403117597103,113.08987646382332,105.00322627863883,57,54,54,54,160.81028502190588,184.514031175971,206.08987646382332,198.00322627863883
15/08/2016,0.16,33,-186.0,113.70649804837227,100.33791072378635,131.639707720747,84.19139180085182,-93,57,54,54,299.7064980483723,286.33791072378636,317.63970772074697,270.1913918008518
22/08/2016,0.16,34,2.9999999999999996,101.71367147555351,47.746653691380025,137.71545199739455,99.66408195340156,-186,-93,57,54,98.71367147555351,44.746653691380025,134.71545199739455,96.66408195340156
29/08/2016,0.16,35,2.9999999999999996,-17.93911197609544,-8.59505631182015,98.34686903337001,117.8352216553688,3,-186,-93,57,-20.93911197609544,-11.59505631182015,95.34686903337001,114.8352216553688
05/09/2016,0.15,36,5.0,-70.10594915484428,-47.63360199500084,4.350502157905698,105.86637565005303,3,3,-186,-93,-75.10594915484428,-52.63360199500084,-0.6494978420943021,100.86637565005303
12/09/2016,0.4,37,5.0,-83.2867012888813,-133.5362747869587,-39.945419465322495,80.68859247624397,5,3,3,-186,-88.2867012888813,-138.5362747869587,-44.945419465322495,75.68859247624397
19/09/2016,0.17,38,5.0,16.873320515168906,-105.75508315803528,-139.6058634218693,-48.38592463870049,5,5,3,3,11.873320515168906,-110.75508315803528,-144.6058634218693,-53.38592463870049
26/09/2016,0.19,39,1.9999999999999998,9.699140364640952,3.5920317401093245,-137.27253532149314,-147.37853811379432,5,5,5,3,7.699140364640952,1.5920317401093247,-139.27253532149314,-149.37853811379432
03/10/2016,0.15,40,7.999999999999999,9.004371082948447,6.3196796760481595,8.020322043998837,-104.21170390412331,2,5,5,5,1.004371082948448,-1.6803203239518396,0.020322043998837636,-112.21170390412331
10/10/2016,0.15,41,7.999999999999999,-3.512503272100687,0.7594106008070707,10.686356915557981,0.04721764300167561,8,2,5,5,-11.512503272100686,-7.240589399192928,2.6863569155579823,-7.952782356998323
17/10/2016,0.48,42,10.0,1.6200429174120725,18.402895207486154,23.236326499347687,21.714724873666764,8,8,2,5,-8.379957082587927,8.402895207486154,13.236326499347687,11.714724873666764
