CITY,1/1/2017,8/1/2017,15/1/2017,22/1/2017,29/1/2017,5/2/2017,12/2/2017,19/2/2017,26/2/2017,5/3/2017,12/3/2017,19/3/2017,26/3/2017,2/4/2017,9/4/2017,16/4/2017,23/4/2017,30/4/2017,7/5/2017,14/5/2017,21/5/2017,28/5/2017,4/6/2017,11/6/2017,18/6/2017,25/6/2017,2/7/2017,9/7/2017,16/7/2017,23/7/2017,30/7/2017,6/8/2017,13/8/2017,20/8/2017,27/8/2017,3/9/2017,10/9/2017,17/9/2017,24/9/2017,1/10/2017,8/10/2017,15/10/2017,22/10/2017,29/10/2017,5/11/2017,12/11/2017,19/11/2017,26/11/2017,3/12/2017,10/12/2017,17/12/2017,24/12/2017
Narino,0,0,0,0,0,17,0,0,100,0,100,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,99,0,0,0,0,0
North Santander,27,1,9,0,0,0,0,0,38,75,0,56,100,0,0,38,21,0,100,0,0,0,0,55,0,56,0,0,0,31,32,0,0,99,69,0,0,0,100,12,0,0,0,0,100,10,0,28,0,4,0,65
Putumayo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
Quindio,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
Risaralda,0,0,0,0,0,13,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Andrés and Providencia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
Santander Department,0,0,0,9,14,0,40,34,9,38,29,0,0,48,0,18,10,26,44,0,0,27,0,25,14,26,68,0,0,0,15,0,37,100,0,5,0,0,51,6,0,0,0,0,13,0,0,30,0,2,0,33
Sucre,73,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0
Tolima,0,1,9,0,0,20,0,66,0,0,0,0,0,100,0,0,21,28,0,0,0,0,0,0,0,0,0,0,0,0,0,31,84,0,39,0,0,57,0,14,57,100,0,65,0,0,0,36,0,0,0,0
Valle del Cauca,5,0,4,2,4,2,18,15,9,0,39,38,0,23,0,33,14,12,42,6,33,38,6,0,6,0,47,0,0,7,0,32,17,0,17,0,0,48,94,0,12,22,0,27,0,0,29,21,14,1,10,0
Vaupes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vichada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
