CITY,7/1/2017,14/1/2017,21/1/2017,28/1/2017,4/2/2017,11/2/2017,18/2/2017,25/2/2017,4/3/2017,11/3/2017,18/3/2017,25/3/2017,1/4/2017,8/4/2017,15/4/2017,22/4/2017,29/4/2017,6/5/2017,13/5/2017,20/5/2017,27/5/2017,3/6/2017,10/6/2017,17/6/2017,24/6/2017,1/7/2017,8/7/2017,15/7/2017,22/7/2017,29/7/2017,5/8/2017,12/8/2017,19/8/2017,26/8/2017,2/9/2017,9/9/2017,16/9/2017,23/9/2017,30/9/2017,7/10/2017,14/10/2017,21/10/2017,28/10/2017,4/11/2017,11/11/2017,18/11/2017,25/11/2017,2/12/2017,9/12/2017,16/12/2017,23/12/2017,30/12/2017
Guerrero,27,13,15,92,28,0,0,20,46,0,22,38,14,25,46,0,0,38,0,49,20,18,23,56,27,34,0,26,0,11,15,12,24,21,16,8,6,0,5,7,3,0,0,0,8,6,7,6,0,12,42,9
Hidalgo,0,25,13,26,0,0,0,18,21,15,0,33,33,23,0,0,0,0,0,0,0,16,10,16,12,15,0,0,13,0,13,0,0,9,0,7,5,5,4,6,2,5,0,3,0,0,0,0,0,0,0,9
Jalisco,8,7,8,16,8,14,12,11,8,12,8,17,3,0,9,10,12,20,9,0,17,13,8,6,4,6,9,9,12,2,13,9,9,9,9,5,3,6,9,12,6,7,4,6,3,6,7,5,2,6,38,5
Mexico City,4,11,9,23,8,14,9,13,14,15,16,16,5,0,11,15,3,25,9,7,9,10,6,7,11,11,14,7,6,4,5,4,7,6,6,2,3,2,2,3,1,1,2,2,1,4,1,1,1,2,4,2
Michoacán,0,8,0,18,9,19,0,13,43,20,26,11,8,16,28,11,0,0,15,29,12,11,0,22,8,0,21,0,0,0,0,6,13,0,5,5,3,4,0,4,0,4,0,0,0,0,0,4,0,7,0,0
Morelos,10,14,45,91,14,48,0,0,24,17,22,0,42,25,70,0,0,79,100,48,100,0,46,36,53,35,54,39,14,34,43,59,36,9,30,22,34,26,23,40,13,9,11,12,4,0,13,10,0,20,36,8
Nayarit,70,50,54,54,25,55,39,74,42,60,40,0,25,0,44,34,45,0,90,89,36,100,0,66,24,61,32,0,74,41,54,40,99,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,76,100
Nuevo Leon,2,14,28,19,33,13,48,18,20,31,14,12,34,22,5,20,15,30,30,20,12,16,7,15,3,11,22,10,20,9,27,9,33,29,16,16,10,13,5,21,5,6,7,10,7,6,8,6,1,4,36,0
Oaxaca,9,13,54,55,38,100,21,76,22,60,20,51,12,0,0,0,10,35,69,45,37,52,21,17,0,80,0,37,0,21,28,0,20,9,14,0,5,0,8,6,10,3,0,6,0,5,8,0,0,0,38,8
Puebla,12,4,9,29,23,10,7,0,15,11,35,24,24,9,15,24,8,0,0,31,6,12,11,0,17,11,6,0,14,4,33,10,47,3,9,0,8,5,4,2,1,3,6,3,5,6,0,8,2,0,15,7
Querétaro,0,0,0,0,38,0,0,0,0,0,0,24,4,18,15,0,8,0,0,0,0,0,0,0,0,0,0,0,0,21,18,13,7,0,5,0,0,4,6,13,0,0,2,4,1,0,0,4,0,0,30,0
Quintana Roo,100,100,100,46,100,49,53,100,54,100,100,72,21,55,100,100,100,85,94,74,29,69,100,100,86,61,49,70,28,32,20,8,15,50,27,44,19,14,23,15,8,7,8,17,5,22,9,9,20,55,100,29
San Luis Potosi,8,0,0,0,0,14,0,18,20,0,0,0,0,0,0,16,0,33,0,42,52,16,0,16,57,15,44,0,48,40,63,45,100,57,64,69,21,56,30,28,11,15,18,6,12,10,0,5,0,19,0,0
Sinaloa,12,0,20,21,0,0,0,14,63,0,15,0,0,18,0,0,0,0,0,0,0,0,0,24,9,0,34,17,0,7,9,0,0,12,5,5,3,4,0,0,2,4,7,0,0,13,6,0,0,0,0,6
Sonora,6,0,0,18,9,10,13,13,0,0,0,0,4,16,0,0,7,0,15,0,0,0,0,0,0,21,0,0,9,7,0,13,13,0,0,5,0,0,11,4,0,4,2,4,1,0,0,0,0,0,26,0
State of Mexico,4,4,6,24,3,4,8,9,10,7,19,14,14,9,5,6,5,29,6,10,11,4,4,10,10,2,9,4,2,2,6,7,22,11,6,3,6,5,4,2,1,4,2,2,1,3,2,1,1,4,0,1
Tabasco,42,63,35,37,0,35,100,0,0,36,0,21,15,0,0,42,14,41,27,0,0,20,13,0,0,19,20,0,0,0,0,12,12,75,17,8,0,6,5,7,0,0,0,0,5,13,0,6,7,0,0,0
Tamaulipas,11,16,26,37,9,0,44,27,15,0,0,0,27,0,31,24,0,0,0,0,13,25,15,70,34,77,100,83,100,100,100,100,88,100,43,82,25,42,22,42,13,15,16,12,12,21,7,20,4,19,49,10
Tlaxcala,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,15,0,0,0,0,0,0,8,0,5,0,0,0,0,0,0,0
Veracruz,17,4,32,19,18,29,36,46,7,25,41,29,100,56,37,36,15,24,16,45,18,0,18,6,41,47,22,16,4,7,9,10,17,18,14,19,6,4,6,8,6,3,7,4,4,4,5,3,4,7,0,0
Yucatan,40,44,19,39,46,30,29,85,15,22,86,49,9,17,0,36,0,24,47,0,12,23,14,33,8,21,0,40,0,15,19,14,7,0,24,5,5,7,3,8,2,2,0,7,5,4,2,4,0,0,0,7
Zacatecas,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,25,0,0,0,19,17,0,14,0,0,0,0,0,10,6,0,0,0,0,0,0,0,0,0
