CITY,7/1/2017,14/1/2017,21/1/2017,28/1/2017,4/2/2017,11/2/2017,18/2/2017,25/2/2017,4/3/2017,11/3/2017,18/3/2017,25/3/2017,1/4/2017,8/4/2017,15/4/2017,22/4/2017,29/4/2017,6/5/2017,13/5/2017,20/5/2017,27/5/2017,3/6/2017,10/6/2017,17/6/2017,24/6/2017,1/7/2017,8/7/2017,15/7/2017,22/7/2017,29/7/2017,5/8/2017,12/8/2017,19/8/2017,26/8/2017,2/9/2017,9/9/2017,16/9/2017,23/9/2017,30/9/2017,7/10/2017,14/10/2017,21/10/2017,28/10/2017,4/11/2017,11/11/2017,18/11/2017,25/11/2017,2/12/2017,9/12/2017,16/12/2017,23/12/2017,30/12/2017
Michoacán,55,0,0,36,52,0,0,0,0,0,0,53,0,31,0,0,0,0,0,0,0,45,0,0,23,0,19,0,0,0,29,0,33,0,0,0,7,0,0,11,0,5,0,0,0,0,0,0,0,0,0,0
Morelos,93,0,0,30,0,60,0,100,0,0,34,0,0,0,0,55,0,0,100,0,100,0,0,0,39,0,0,53,78,46,47,60,60,89,100,0,50,42,19,71,13,0,13,7,6,0,12,47,0,0,0,0
Nayarit,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,100,0,100,0,0,0,0,100,0,0,0,0,0,46,0,89,100,100,0,97,58,100,71,100,100,100,100,100,100,100,100,100,100,0,100,100,0
Nuevo Leon,37,0,25,6,37,13,33,42,0,47,0,19,25,22,0,0,0,0,20,0,0,16,0,17,17,33,0,11,11,0,20,32,0,13,11,26,6,0,11,30,3,13,8,6,5,6,6,22,0,0,0,0
Oaxaca,0,0,0,28,79,54,0,90,0,0,0,0,72,0,0,47,0,0,92,0,0,71,0,37,0,0,0,25,25,0,0,0,0,0,23,0,0,73,0,0,12,0,13,7,0,5,0,0,0,0,0,50
Puebla,28,42,0,0,0,0,12,0,0,0,0,0,0,34,0,0,0,0,32,0,0,0,0,0,13,34,0,9,9,0,15,34,0,0,0,20,0,0,0,6,0,0,0,2,0,2,0,0,0,0,0,0
Querétaro,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,9,0,0,0,0,16,0,0,0,0,11,8,0,0,0,4,0,0,0,0,0,0,0
Quintana Roo,0,100,29,23,0,0,30,0,60,0,26,0,0,0,0,0,0,40,0,0,73,0,0,28,0,0,0,0,0,11,33,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,40,100,0,0,0
San Luis Potosi,78,0,0,0,0,52,0,0,0,0,0,0,0,0,0,47,0,0,0,100,0,0,0,35,0,45,27,0,44,14,41,46,92,52,43,51,9,97,30,0,22,7,11,6,11,5,0,89,0,0,0,0
Sinaloa,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,4,0,37,0,0,0,0
Sonora,0,0,0,0,53,0,0,0,0,0,21,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0
State of Mexico,0,0,0,3,9,0,0,0,0,0,0,10,0,0,28,0,17,0,0,12,0,0,0,0,0,0,10,3,0,2,0,0,6,7,6,4,1,8,2,0,1,3,1,0,0,1,1,6,0,0,0,0
Tabasco,100,0,0,0,100,0,43,0,0,0,0,100,0,0,100,61,91,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,40,0,14,0,0,0,0,0,0,59,0,0,0,0
Tamaulipas,54,0,23,0,0,39,50,0,49,35,22,0,0,0,0,0,0,0,0,0,65,100,0,53,0,100,100,100,100,100,90,67,34,100,64,100,14,100,22,44,42,17,8,14,12,4,4,31,88,10,0,31
Tlaxcala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Veracruz,0,42,12,10,27,0,0,64,0,51,11,28,100,48,53,0,24,0,0,0,61,0,17,0,0,16,10,8,0,0,0,0,0,0,16,10,0,12,6,11,8,0,0,2,0,0,0,0,45,0,0,0
Yucatan,0,86,25,39,56,0,0,0,100,0,0,0,0,0,0,0,0,0,0,71,62,95,0,49,0,33,0,16,0,10,31,34,0,21,0,0,6,0,0,0,0,0,9,0,4,0,0,0,0,14,0,0
Zacatecas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
