Date,Searches,Cases,Week1-Prediction,Week2-Prediction,Week3-Prediction,Week4-Prediction,Naive-1Week,Naive-2Week,Naive-3Week,Naive-4Week,Week1-Error,Week2-Error,Week3-Error,Week4-Error
23/05/2016,0.2,179.99999999999997,506.248805883255,37.30228951007366,1073.2277096388625,2163.2338781336975,180,478,478,478,326.24880588325505,-142.6977104899263,893.2277096388625,1983.2338781336975
30/05/2016,0.27,179.99999999999997,467.107903698349,-71.29607824026584,748.4965410972977,1729.2330754856873,180,180,478,478,287.107903698349,-251.2960782402658,568.4965410972977,1549.2330754856873
06/06/2016,0.31,179.99999999999997,190.18515769724846,82.7414330500555,697.5764933756637,1221.097341071396,180,180,180,478,10.185157697248485,-97.25856694994447,517.5764933756637,1041.097341071396
13/06/2016,0.3,179.99999999999997,122.63044311584473,342.5690367884636,335.2730919929504,1054.0442379278945,180,180,180,180,-57.369556884155244,162.56903678846365,155.27309199295044,874.0442379278945
20/06/2016,0.4,184.99999999999997,144.85083992857932,562.1463807477951,15.957139806290865,632.3632917332077,180,180,180,180,-40.14916007142065,377.1463807477951,-169.04286019370912,447.3632917332077
27/06/2016,0.3,-27.999999999999996,153.26248584512712,526.8649287925339,189.97198287091254,102.4288070599556,185,180,180,180,181.26248584512712,554.8649287925339,217.97198287091254,130.4288070599556
04/07/2016,0.29,-27.999999999999996,299.1070372367287,546.5409491014863,193.55068557149886,80.13702334745408,-28,185,180,180,327.1070372367287,574.5409491014863,221.55068557149886,108.13702334745408
11/07/2016,0.21,-27.999999999999996,134.5489199776554,365.0597405739403,202.73945797398568,116.12350376740456,-28,-28,185,180,162.5489199776554,393.0597405739403,230.73945797398568,144.12350376740454
18/07/2016,0.33,-27.999999999999996,18.939062085636856,42.3278820004797,-24.010998686317205,103.77946110273838,-28,-28,-28,185,46.93906208563685,70.32788200047969,3.9890013136827918,131.77946110273837
25/07/2016,0.24,-27.999999999999996,-76.69614891972542,1.4026500031663478,-62.819736430630684,-216.27491195483208,-28,-28,-28,-28,-48.69614891972542,29.402650003166343,-34.819736430630684,-188.27491195483208
01/08/2016,0.38,-26.999999999999996,-80.3153208974266,26.26332648611188,2.2662328005795183,-201.66215741302491,-28,-28,-28,-28,-53.3153208974266,53.26332648611188,29.266232800579516,-174.66215741302491
08/08/2016,0.11,138.0,-77.3751083173275,25.884979553763866,-9.637347631844879,-81.28529868095875,-27,-28,-28,-28,-215.3751083173275,-112.11502044623613,-147.63734763184488,-219.28529868095876
15/08/2016,0.24,276.0,-209.34942912817954,25.819604862897396,-10.228583527773619,17.566106707487105,138,-27,-28,-28,-485.3494291281795,-250.1803951371026,-286.2285835277736,-258.4338932925129
22/08/2016,0.12,13.0,-80.50477012519836,181.97071869737624,-9.228973998929858,19.254208096196653,276,138,-27,-28,-93.50477012519836,168.97071869737624,-22.22897399892986,6.254208096196653
